subject,class,split,PC1,PC2,PC3
1,NoPain,train,-953942.9945483832,-6136.9570143058445,-27.879423224682103
1,NoPain,train,453364.19588756294,-5270.378806174303,-10.558132609792533
1,NoPain,train,414883.2511249246,-4987.0422498709,-12.979273835981035
1,NoPain,train,-3521260.7122955713,-4426.263792882318,-77.38313025931112
1,NoPain,train,-712704.0102651924,-6260.495676157762,-26.79732226748513
1,NoPain,train,-5903859.073975062,4547.38840613761,-127.66644917001855
1,NoPain,train,-4475362.507668936,2082.503690259334,-106.83212315786237
1,NoPain,train,-1469140.9950673918,-792.7490711565022,-50.03751943348378
1,NoPain,train,-6448014.281147946,3501.514236606936,-74.79006360938659
1,NoPain,train,-2237262.672729059,980.3166080973259,-58.83717826199133
1,NoPain,train,-3323998.770861147,580.8924590138624,-78.04313477700674
1,NoPain,train,-1533360.9296853282,-386.87165722581284,-44.96701873498514
1,PainArm,train,-1449656.55590294,1536.985295977804,-49.457099242308445
1,PainHand,train,-121093.92089595189,4804.839726224233,-31.23366940797694
1,PainArm,train,380225.79445514665,3223.052798130606,-24.598230491929804
1,PainHand,train,-344841.4157061399,2190.9311352793206,-23.856668964209828
1,PainArm,train,-230920.85283818422,5215.949371180731,-25.247600488073836
1,PainHand,train,-670172.6566117285,6245.455005877237,11.411485460894552
1,PainArm,train,-4899983.994117863,4878.539256401355,-98.19885103436948
1,PainHand,train,-7064348.806617159,6039.754081451046,-138.20053351991623
1,PainArm,train,-4156254.1204190305,4086.080344719616,-96.97268364389056
1,PainHand,train,-4915698.409918177,2799.705052364909,-74.64206443578826
1,PainArm,train,-2024091.435846171,2224.3904946399425,-61.37019455271003
1,PainHand,train,-4652378.966446593,5203.926984560578,-62.44248920874229
1,PainArm,train,-2509745.276487965,8427.730669270475,-75.82971336911955
1,PainHand,train,-3208412.3607462863,8206.94789282849,-69.69796124078601
1,PainArm,train,-5757325.652210274,6761.269073387584,-123.52037830017474
1,PainHand,train,-4330325.775349728,5954.189026713783,-103.37838387779358
1,PainArm,train,-7335116.785593532,6170.076865394448,-161.97090794133783
1,PainHand,train,-5551979.029176707,4747.872281265171,-112.46235242048657
1,PainArm,train,-6272754.360319547,3049.08516615575,-125.73262026642591
1,PainHand,train,-7289492.161242831,4203.194085278807,-148.46102715124727
1,PainArm,train,-7643761.648641271,6978.170807028956,-151.38161760496573
1,PainHand,train,-4938229.690517021,6550.204799917141,-97.43996238266777
1,PainArm,train,-5306612.015132354,4772.253961676614,-118.83648171874997
1,PainHand,train,-4789537.71642024,6307.822768385712,-114.50097712206107
2,NoPain,train,-8000204.5344718415,-26109.68699071528,-115.82469202884889
2,NoPain,train,-8000204.674752252,-26122.618923801987,-115.49515214158579
2,NoPain,train,-8000205.306645556,-26111.514565389523,-115.64233557381301
2,NoPain,train,-8000204.752454525,-26098.614432435905,-114.66328821461543
2,NoPain,train,-8000205.007353001,-26114.4584220183,-117.3379989182327
2,NoPain,train,-8000119.214614796,-14341.877255983549,-130.1651991778141
2,NoPain,train,-8000137.318532207,-15694.588943522633,-149.25630403515385
2,NoPain,train,-8000135.944916257,-15987.77210770587,-138.62209825885563
2,NoPain,train,-8000115.600118256,3588.458049239399,-153.68931170329304
2,NoPain,train,-8000099.433071815,-13724.339183394366,-153.949730276231
2,NoPain,train,-8000154.604788377,-15894.524185783619,-115.20524428741983
2,NoPain,train,-8000102.21975293,-15049.45375840804,-116.96684343535107
2,PainArm,train,-8000203.336027762,-25777.447556958756,-121.94877179640646
2,PainHand,train,-8000115.076136183,3828.916591723446,-178.97134368806107
