component,explained_variance_ratio
1,0.9997843984384717
2,0.0002154081412246494
3,1.6622315601042052e-07
4,1.3649797794657113e-08
5,1.1559327185479383e-08
6,5.63102316820968e-10
7,4.386895487560925e-10
8,3.40768618136139e-10
9,2.5529187919362154e-10
10,1.5193906672458937e-10
11,4.775836642388516e-11
12,3.81926942058329e-11
13,3.1971159258057045e-11
14,2.298781205121375e-11
15,1.894135683140169e-11
16,1.431926115979684e-11
17,1.3683597407727368e-11
18,1.089151053124024e-11
19,7.998640444613245e-12
20,6.720175837671743e-12
