feature,signal,sign_consistency_frac,cliff_delta,paired_p,paired_p_fdr,n_subjects_paired
SpO2_slope_range__delta,SpO2,1.0,1.0,,,1
SpO2_slope_range,SpO2,1.0,1.0,,,1
Eda_w3_domfreq__delta,Eda,0.8181818181818182,0.18500892325996432,0.03887940451523151,0.7773967049779458,41
Eda_w3_domfreq,Eda,0.8181818181818182,0.17311124330755503,0.03887940451523151,0.7773967049779458,41
Resp_w3_kurt,Resp,0.24390243902439024,-0.35633551457465795,0.0019613504027802264,0.2863469374151464,41
Resp_w3_kurt__delta,Resp,0.24390243902439024,-0.32540154669839383,0.0019613504027802264,0.2863469374151464,41
SpO2_w4_mean,SpO2,0.275,-0.11875,0.060269491961662425,0.9022953127650594,40
SpO2_w4_mean__delta,SpO2,0.28205128205128205,-0.07955292570677186,0.08484960912392125,0.9022953127650594,39
SpO2_w5_kurt,SpO2,0.6923076923076923,0.2518080210387903,0.038577656323468545,0.7773967049779458,39
Resp_w1_domfreq,Resp,0.6923076923076923,0.057108863771564544,0.1568896290248746,0.9022953127650594,41
Resp_w1_domfreq__delta,Resp,0.6923076923076923,0.11778703152885188,0.28150830560409346,0.9507458768618606,41
SpO2_w5_kurt__delta,SpO2,0.6842105263157895,0.12326869806094183,0.05491723805607762,0.8742824298527558,38
Bvp_slope_std,Bvp,0.6829268292682927,0.1255205234979179,0.041018419106876536,0.7773967049779458,41
Resp_w4_range__delta,Resp,0.6829268292682927,0.13503866745984533,0.023855222052588942,0.7534667399283664,41
Resp_w4_p2p__delta,Resp,0.6829268292682927,0.13503866745984533,0.023855222052588942,0.7534667399283664,41
Eda_w5_kurt,Eda,0.6829268292682927,0.3325401546698394,0.004316788001233363,0.2863469374151464,41
Resp_w4_range,Resp,0.6829268292682927,0.07792980368828079,0.023855222052588942,0.7534667399283664,41
Eda_w5_kurt__delta,Eda,0.6829268292682927,0.3372992266508031,0.004316788001233363,0.2863469374151464,41
Resp_w4_p2p,Resp,0.6829268292682927,0.07792980368828079,0.023855222052588942,0.7534667399283664,41
Bvp_slope_std__delta,Bvp,0.6829268292682927,0.1421772754312909,0.041018419106876536,0.7773967049779458,41
Resp_w3_skew,Resp,0.3170731707317073,-0.3182629387269482,0.0034474292915547267,0.2863469374151464,41
Resp_w3_skew__delta,Resp,0.3170731707317073,-0.34324806662700774,0.0034474292915547267,0.2863469374151464,41
SpO2_w4_rms,SpO2,0.325,-0.1125,0.05481029127986403,0.8742824298527558,40
Eda_w5_domfreq__delta,Eda,0.3333333333333333,-0.020226055919095775,1.0,1.0,41
SpO2_w3_rms__delta,SpO2,0.3333333333333333,-0.16049382716049382,0.005119445180753246,0.29107702599139884,36
Eda_w5_domfreq,Eda,0.3333333333333333,-0.022010707911957167,1.0,1.0,41
SpO2_w4_rms__delta,SpO2,0.3333333333333333,-0.05062458908612755,0.07980852480613976,0.9022953127650594,39
Bvp_peak_mid,Bvp,0.3333333333333333,-0.10113027959547888,0.19534419953548632,0.9022953127650594,41
SpO2_w5_domfreq,SpO2,0.3333333333333333,-0.2695595003287311,0.04423917839088757,0.8003269545260568,39
Bvp_peak_mid__delta,Bvp,0.3333333333333333,-0.06722189173111243,0.2333114458725538,0.9475301577273103,41
