subject,n_segments,loo_acc
1,24,0.5
2,24,0.4583333333333333
4,24,0.5
5,24,0.5
6,24,0.6666666666666666
8,24,0.3333333333333333
11,24,0.25
12,24,0.25
13,24,0.3333333333333333
15,24,0.375
16,24,0.375
18,24,0.3333333333333333
21,24,0.6666666666666666
22,24,0.5416666666666666
24,24,0.5416666666666666
25,24,0.5
27,24,0.5416666666666666
28,24,0.5
29,24,0.75
30,24,0.375
34,24,0.5
36,24,0.2916666666666667
37,24,0.4583333333333333
41,24,0.3333333333333333
42,24,0.4583333333333333
43,24,0.375
44,24,0.5833333333333334
45,24,0.5
46,24,0.5416666666666666
47,24,0.5416666666666666
48,24,0.6666666666666666
49,24,0.2916666666666667
52,24,0.2916666666666667
53,24,0.4583333333333333
55,24,0.5416666666666666
56,24,0.5416666666666666
57,24,0.6666666666666666
58,24,0.25
59,24,0.5
60,24,0.2916666666666667
63,24,0.4583333333333333
