feature,n,unaligned_W,unaligned_p,unaligned_cliff,unaligned_sign_consistency,unaligned_direction,aligned_W,aligned_p,aligned_cliff,aligned_sign_consistency,aligned_direction,p_ratio,delta_cliff,unaligned_p_fdr,aligned_p_fdr,n_features_improved
Resp_skew,40,260.0,0.043626361240967526,-0.11375,0.65,HAND>ARM,301.0,0.14608894804041483,-0.06125,0.55,HAND>ARM,3.348639306255718,-0.052500000000000005,0.15996332455021428,0.4017446071111408,8
Resp_amp_std,40,353.0,0.45173393898585346,0.0075,0.525,ARM>HAND,404.0,0.9417240968323313,-0.005,0.55,ARM>HAND,2.084687501998433,-0.0024999999999999996,0.5521192587604875,0.9417240968323313,8
Resp_mad,40,299.0,0.13868038851069286,0.0475,0.625,ARM>HAND,300.0,0.1423485195809917,0.03625,0.6,ARM>HAND,1.0264502508948192,-0.011250000000000003,0.29217789608082967,0.4017446071111408,8
Resp_diff_std,40,253.0,0.03439493566293095,0.06875,0.65,ARM>HAND,315.0,0.20641296513713314,0.0625,0.6,ARM>HAND,6.001260393680404,-0.0062500000000000056,0.15133771691689618,0.5045650258907699,8
Resp_mean_abs,40,301.0,0.14608894804041483,0.0525,0.65,ARM>HAND,284.0,0.0918240616483672,0.04625,0.675,ARM>HAND,0.6285489962112979,-0.006249999999999999,0.29217789608082967,0.4017446071111408,8
Bvp_n_extrema,40,242.5,0.024355902217624927,0.085625,0.65,ARM>HAND,225.5,0.013140178125292527,0.09625,0.7,ARM>HAND,0.5395069337970883,0.010624999999999996,0.14768996311431692,0.14913431569038949,8
Bvp_petrosian_fd,40,246.0,0.02685272056623944,0.08125,0.65,ARM>HAND,228.0,0.01355766506276268,0.09625,0.7,ARM>HAND,0.5048898129081208,0.015,0.14768996311431692,0.14913431569038949,8
Resp_peak_power,40,316.0,0.21131373006210197,0.04375,0.65,ARM>HAND,391.0,0.8057269839482615,0.03375,0.55,ARM>HAND,3.8129419404573013,-0.009999999999999995,0.33206443295473165,0.9313349796081768,8
Resp_range,40,283.0,0.08920892782589362,0.03875,0.625,ARM>HAND,286.0,0.09723449486591562,0.0375,0.65,ARM>HAND,1.0899637203989858,-0.0012500000000000011,0.24532455152120747,0.4017446071111408,8
Resp_rms,40,310.0,0.18311741828802042,0.05375,0.55,ARM>HAND,293.0,0.11814906760264421,0.045,0.65,ARM>HAND,0.6452093345746648,-0.00875,0.33206443295473165,0.4017446071111408,8
Bvp_diff_std,40,281.0,0.08415465162215696,0.04625,0.575,ARM>HAND,339.0,0.34716529149409325,0.03,0.575,ARM>HAND,4.125325039105605,-0.01625,0.24532455152120747,0.5875104932976962,8
Resp_iqr,40,342.0,0.36820016943056544,0.02875,0.575,HAND>ARM,364.0,0.5448004511072213,0.0275,0.525,ARM>HAND,1.4796311798274684,-0.0012500000000000011,0.47649433691014353,0.7398519489787064,8
Bvp_kurtosis,40,401.0,0.9100459608780511,-0.00625,0.525,ARM>HAND,285.0,0.09449897358172166,0.03375,0.65,ARM>HAND,0.10383978133428011,0.027500000000000004,0.9100459608780511,0.4017446071111408,8
Eda_kurtosis,40,299.0,0.13868038851069286,0.10375,0.65,ARM>HAND,354.0,0.45981367328386114,0.0175,0.575,ARM>HAND,3.3156358892692857,-0.08625,0.29217789608082967,0.7225643437317818,8
Resp_std,40,316.0,0.21131373006210197,0.03875,0.6,ARM>HAND,339.0,0.34716529149409325,0.0325,0.625,ARM>HAND,1.6428903668117851,-0.006249999999999999,0.33206443295473165,0.5875104932976962,8
Resp_n_extrema,40,336.0,0.32689447529082827,-0.00875,0.575,HAND>ARM,329.0,0.2825841121848498,-0.00375,0.575,HAND>ARM,0.8644505598739262,-0.005000000000000001,0.47649433691014353,0.5651682243696996,8
Eda_diff_std,40,371.0,0.6085058219759958,-0.0325,0.525,HAND>ARM,366.0,0.5626676823321759,0.00625,0.5,ARM>HAND,0.9246709924730546,-0.026250000000000002,0.6693564041735954,0.7398519489787064,8
Eda_skew,40,340.0,0.35409228332900966,0.0125,0.575,ARM>HAND,367.0,0.5717037787562731,0.02,0.55,ARM>HAND,1.614561530066067,0.0075,0.47649433691014353,0.7398519489787064,8
Resp_kurtosis,40,386.0,0.7546940826050559,0.0275,0.525,HAND>ARM,375.0,0.6463036218483467,0.02,0.55,HAND>ARM,0.8563782819356863,-0.0075,0.7906318960624394,0.789926648925757,8
Eda_mean,40,368.0,0.5808067661073437,-0.0175,0.5,HAND>ARM,396.0,0.8575823361643415,-0.0125,0.55,HAND>ARM,1.4765364079898557,-0.005000000000000001,0.6693564041735954,0.9313349796081768,8
Resp_w3_kurt,40,208.0,0.005831649234096403,-0.33125,0.675,HAND>ARM,399.0,0.8890015714441688,-0.00875,0.525,ARM>HAND,152.44428046981412,-0.3225,0.0765071217501827,0.9313349796081768,8
Resp_w3_skew,40,212.0,0.006955192886380246,-0.28875,0.725,HAND>ARM,325.0,0.259140549798758,-0.12125,0.575,HAND>ARM,37.25857126208686,-0.1675,0.0765071217501827,0.5651682243696996,8
