channel,model,n_features,loso_macro_f1_mean,loso_macro_f1_std,loso_acc_mean,loso_balanced_acc_mean,n_folds,val_macro_f1,val_acc,val_balanced_acc
bvp,logreg,61,0.5251476735039832,0.10535597266746755,0.5274390243902439,0.5274390243902439,41,0.5277550036170726,0.5277777777777778,0.5277777777777778
bvp,rf,61,0.5054707034851302,0.10536709973484269,0.5111788617886178,0.5111788617886179,41,0.5450895279435704,0.5451388888888888,0.5451388888888888
bvp,xgb,61,0.4954666629241151,0.07789653350875127,0.5020325203252032,0.5020325203252032,41,0.5416666666666666,0.5416666666666666,0.5416666666666666
eda,logreg,55,0.5050956780543208,0.12914209245371133,0.5071138211382115,0.5071138211382115,41,0.4860119621840633,0.4861111111111111,0.4861111111111111
eda,rf,55,0.5062040211971023,0.10688931076794399,0.5111788617886179,0.5111788617886179,41,0.48942944319154835,0.4895833333333333,0.4895833333333333
eda,xgb,55,0.4949975695736127,0.08441111631660954,0.5020325203252032,0.5020325203252032,41,0.4721967687484929,0.4722222222222222,0.4722222222222222
resp,logreg,53,0.5217953084731121,0.11492535869083594,0.524390243902439,0.5243902439024392,41,0.5520347259902334,0.5520833333333334,0.5520833333333333
resp,rf,53,0.5324503359175112,0.0965695478634444,0.5376016260162602,0.5376016260162602,41,0.46362229102167185,0.4652777777777778,0.4652777777777778
resp,xgb,53,0.4810353479637323,0.07710002187371724,0.4857723577235772,0.48577235772357724,41,0.4825827455236028,0.4826388888888889,0.4826388888888889
spo2,logreg,42,0.5090038462096229,0.07898009289437015,0.5193089430894309,0.5193089430894309,41,0.5170758188069244,0.5173611111111112,0.5173611111111112
spo2,rf,42,0.5162370040923521,0.11081509884259277,0.532520325203252,0.532520325203252,41,0.5166560013522814,0.5173611111111112,0.5173611111111112
spo2,xgb,42,0.5044199252960989,0.10428167878150979,0.5193089430894309,0.5193089430894309,41,0.5097014114436811,0.5104166666666666,0.5104166666666667
all,logreg,212,0.558943435496988,0.10230725219944728,0.5609756097560975,0.5609756097560976,41,0.5104107640186635,0.5104166666666666,0.5104166666666666
all,rf,212,0.5300470061452212,0.09018548696894091,0.535569105691057,0.5355691056910569,41,0.4791666666666667,0.4791666666666667,0.4791666666666667
all,xgb,212,0.525557428090276,0.09301009040328914,0.5304878048780488,0.5304878048780488,41,0.5311991318502441,0.53125,0.53125
