subject,class,split,tsne1,tsne2
1,NoPain,train,-22.868702,28.036522
1,NoPain,train,-22.250109,28.419289
1,NoPain,train,-22.17772,30.180145
1,NoPain,train,-23.605433,28.33283
1,NoPain,train,-22.71721,28.62316
1,NoPain,train,-25.90975,25.583189
1,NoPain,train,-25.412209,25.465822
1,NoPain,train,-23.498667,26.541956
1,NoPain,train,-26.107784,24.86377
1,NoPain,train,-30.050589,11.746395
1,NoPain,train,-24.45205,26.143112
1,NoPain,train,-23.871069,25.424416
1,PainArm,train,-22.751196,29.7489
1,PainHand,train,-23.190588,27.429379
1,PainArm,train,-21.918253,29.170464
1,PainHand,train,-23.056269,30.88446
1,PainArm,train,-23.738115,29.608948
1,PainHand,train,-22.737843,30.463423
1,PainArm,train,-25.76467,27.033375
1,PainHand,train,-26.407116,29.390331
1,PainArm,train,-24.644606,30.492113
1,PainHand,train,-24.103884,23.874521
1,PainArm,train,-23.782248,27.452658
1,PainHand,train,-26.237923,23.332409
1,PainArm,train,-24.151054,27.981823
1,PainHand,train,-24.064857,23.94477
1,PainArm,train,-26.259954,28.795542
1,PainHand,train,-24.995087,27.16567
1,PainArm,train,-27.25233,26.871468
1,PainHand,train,-26.431774,25.17274
1,PainArm,train,-26.027205,26.349573
1,PainHand,train,-26.689018,26.33836
1,PainArm,train,-26.91953,27.418056
1,PainHand,train,-26.143068,24.268518
1,PainArm,train,-25.578156,26.147259
1,PainHand,train,-25.901073,28.598337
2,NoPain,train,30.763866,31.727924
2,NoPain,train,31.495333,33.21773
2,NoPain,train,31.110468,31.277395
2,NoPain,train,27.723797,30.826097
2,NoPain,train,30.834229,31.730907
2,NoPain,train,30.195768,30.537012
2,NoPain,train,31.807661,29.942522
2,NoPain,train,30.587582,30.469429
2,NoPain,train,29.668892,31.0607
2,NoPain,train,28.586246,30.352856
2,NoPain,train,31.93742,29.861626
2,NoPain,train,29.805378,30.360134
2,PainArm,train,27.153706,31.985823
2,PainHand,train,26.301922,32.857567
2,PainArm,train,28.561996,32.27407
2,PainHand,train,30.02695,31.74691
2,PainArm,train,25.991709,35.57868
2,PainHand,train,26.739754,34.179413
