subject,class,split,tsne1,tsne2
1,NoPain,train,40.796494,-0.43802083
1,NoPain,train,40.792,-0.44594714
1,NoPain,train,33.621105,-2.9308062
1,NoPain,train,36.00841,0.23298779
1,NoPain,train,33.618076,-2.61645
1,NoPain,train,-20.004187,-3.6279995
1,NoPain,train,-22.845768,4.95943
1,NoPain,train,29.793856,-0.060756437
1,NoPain,train,-23.132618,4.3009686
1,NoPain,train,2.8147418,18.391897
1,NoPain,train,12.951106,1.7458173
1,NoPain,train,29.410221,-7.8020167
1,PainArm,train,19.550213,7.3531356
1,PainHand,train,13.567086,-2.6837368
1,PainArm,train,40.229515,-7.0387163
1,PainHand,train,-1.9405094,-3.7573876
1,PainArm,train,-1.2959476,-18.940723
1,PainHand,train,-2.0021534,-3.7613587
1,PainArm,train,-10.72565,1.6548591
1,PainHand,train,5.4840693,-25.943302
1,PainArm,train,1.3087347,8.369022
1,PainHand,train,-36.132797,-3.5642936
1,PainArm,train,-6.201834,-8.501878
1,PainHand,train,-37.108925,-5.990717
1,PainArm,train,-18.41698,-22.845459
1,PainHand,train,-30.485878,-1.2914783
1,PainArm,train,-7.4411955,19.149046
1,PainHand,train,-12.146211,-11.186249
1,PainArm,train,-19.463299,-7.1521554
1,PainHand,train,-20.610176,-4.580141
1,PainArm,train,-22.794994,6.03987
1,PainHand,train,-18.24456,-5.201981
1,PainArm,train,-25.92733,4.272222
1,PainHand,train,-26.882225,1.3017102
1,PainArm,train,-21.921402,4.276006
1,PainHand,train,-20.572294,9.672962
2,NoPain,train,-6.906593,-28.828117
2,NoPain,train,-5.339616,-28.679005
2,NoPain,train,-6.9375553,-29.173367
2,NoPain,train,-6.5272746,-27.774982
2,NoPain,train,-6.1406736,-27.53112
2,NoPain,train,26.851688,12.206415
2,NoPain,train,33.817528,4.0640545
2,NoPain,train,32.03289,2.8037872
2,NoPain,train,25.198658,11.746275
2,NoPain,train,9.834055,9.788986
2,NoPain,train,33.517826,3.7079337
2,NoPain,train,31.770885,2.9121974
2,PainArm,train,-4.077803,-26.989641
2,PainHand,train,-38.08637,-8.113313
2,PainArm,train,-0.88761246,2.2706754
2,PainHand,train,12.305589,0.47177678
2,PainArm,train,-34.051125,-15.418182
2,PainHand,train,-31.755028,-14.774257
2,PainArm,train,6.02138,10.419994
2,PainHand,train,12.445462,-14.50981
2,PainArm,train,-33.50054,-15.19407
2,PainHand,train,-14.871087,1.1242024
2,PainArm,train,6.59926,11.053756
2,PainHand,train,-33.182503,-15.095499
2,PainArm,train,-31.988976,-14.422437
2,PainHand,train,-32.26475,-14.1025715
2,PainArm,train,12.999347,7.295315
2,PainHand,train,6.5837393,11.117563
2,PainArm,train,-19.01794,19.52822
2,PainHand,train,-13.151731,10.73347
2,PainArm,train,30.127075,9.490616
2,PainHand,train,14.417863,0.46033394
2,PainArm,train,-19.210598,19.141533
2,PainHand,train,24.53472,20.866695
2,PainArm,train,27.185171,5.959716
2,PainHand,train,-13.230347,10.660941
4,NoPain,train,23.55686,10.890403
4,NoPain,train,28.00679,11.313553
4,NoPain,train,25.921396,20.356127
4,NoPain,train,29.118023,11.589793
4,NoPain,train,29.531721,14.013643
4,NoPain,train,-18.722046,7.025565
4,NoPain,train,18.215782,-8.3793
4,NoPain,train,22.7827,5.5779467
4,NoPain,train,16.154514,19.889168
4,NoPain,train,24.239122,5.4847054
4,NoPain,train,-25.842833,4.0889444
4,NoPain,train,21.623426,25.395573
4,PainArm,train,-16.328074,-8.697538
4,PainHand,train,-17.921787,3.4713933
4,PainArm,train,-19.849174,-7.1980305
4,PainHand,train,-11.761607,7.8042035
4,PainArm,train,-18.181652,6.4639506
4,PainHand,train,-15.450911,-12.153699
