feature,consistency,effect_size,score
Bvp_p90,0.9512194889946467,1.5379004,1.4628808781241958
Bvp_iqr,0.9749999756250006,1.410281,1.3750238849683514
Bvp_mad,0.9512194889946467,1.3942043,1.3261942627228651
Bvp_bp_vhf,0.9749999756250006,1.34438,1.3107704877986317
Bvp_total_power,0.9512194889946467,1.355127,1.289023190553275
Bvp_peak_power,0.999999974358975,1.2885443,1.2885442641787264
Bvp_std,0.9512194889946467,1.3216717,1.2571999022258284
Bvp_cv,0.9512194889946467,1.3138223,1.2497333477662158
Bvp_hjorth_activity,0.9512194889946467,1.2869186,1.2241420912485352
BVP_peak_amp_mean,0.9487179243918481,1.265892,1.2009744580754746
Bvp_diff_std,0.9743589493754116,1.1422653,1.1129764369318942
Bvp_spec_entropy,0.9749999756250006,1.0374646,1.0115279779275903
Eda_dfa_alpha,0.9499999762500007,1.0590565,1.0061036692863428
Bvp_max,0.9499999762500007,1.0385624,0.986634271512961
Eda_mean,0.9230768994082847,1.0684712,0.9862810762309866
Eda_mean_abs,0.9230768994082847,1.0684712,0.9862810762309866
Eda_spec_bandwidth,0.9487179243918481,1.0345739,0.9815188150113161
Eda_spec_spread,0.9487179243918481,1.0345739,0.9815188150113161
Bvp_rms,0.9249999768750007,1.0492172,0.9705259080488642
Bvp_energy,0.9249999768750007,1.0491251,0.970440670428734
Eda_p90,0.9189188940832732,1.0522726,0.9669531354666053
Bvp_spec_flatness,0.9736841849030479,0.9851071,0.9591832269298025
Eda_max,0.8947368185595574,1.0499198,0.9394019406711597
Eda_median,0.9210526073407209,1.0183759,0.9379777536005482
Eda_energy,0.9230768994082847,1.0154735,0.9373601159586462
BVP_env_std,0.9249999768750007,1.0122947,0.9363725279126702
Eda_rms,0.8749999781250006,1.0592493,0.9268430984767574
Bvp_mean,0.9024390023795366,1.0268455,0.9266653881612851
Bvp_mean_abs,0.9024390023795366,1.0268455,0.9266653881612851
Bvp_mean_freq,0.9487179243918481,0.973018,0.9231196084276574
Bvp_spec_centroid,0.9487179243918481,0.973018,0.9231196084276574
Bvp_spec_spread,0.8947368185595574,1.0228217,0.9151562023260511
Bvp_spec_bandwidth,0.8947368185595574,1.0228217,0.9151562023260511
Bvp_bp_vhf_rel,0.999999974358975,0.9047508,0.9047508007758709
Bvp_mcr,0.9230768994082847,0.9549335,0.8814770765965853
Bvp_zcr,0.9230768994082847,0.9549335,0.8814770765965853
Eda_p10,0.8780487590719815,0.9971202,0.8755201556496639
Bvp_samp_entropy,0.9189188940832732,0.9469268,0.8701489026503368
Bvp_spec_edge_95,0.9210526073407209,0.92519563,0.8521538513322109
Bvp_hjorth_mobility,0.9230768994082847,0.9115518,0.8414323847769273
Bvp_hjorth_complexity,0.9024390023795366,0.9192624,0.8295782514926667
Bvp_range,0.9249999768750007,0.89281917,0.8258577080732687
Eda_bp_higher,0.9473683961218844,0.8476151,0.8030037794110527
Eda_hjorth_mobility,0.9499999762500007,0.8448415,0.802599386177386
Bvp_approx_entropy,0.8717948494411578,0.9172061,0.7996155613273797
Bvp_kurtosis,0.9189188940832732,0.8690721,0.7986067543184467
Bvp_dfa_alpha,0.9230768994082847,0.86457855,0.7980724826998674
Bvp_peak_rel_power,0.94594592037984,0.83892804,0.7935805605648781
EDA_tonic_mean,0.8947368185595574,0.87781656,0.7854147942802253
Eda_min,0.8749999781250006,0.8537853,0.747062098184791
Eda_hjorth_complexity,0.9499999762500007,0.72725564,0.6908928430210673
Eda_mean_freq,0.9473683961218844,0.69379103,0.657275697075605
Eda_spec_centroid,0.9473683961218844,0.69379103,0.657275697075605
Bvp_median,0.7317072992266512,0.8569534,0.6270390450664126
Bvp_petrosian_fd,0.9090908815427007,0.67926055,0.6175095739507468
Bvp_n_extrema,0.9090908815427007,0.6792218,0.6174743530253559
Eda_range,0.8717948494411578,0.7046056,0.6142715149876921
EDA_range,0.8717948494411578,0.7046056,0.6142715149876921
Eda_bp_higher_rel,0.9249999768750007,0.64697117,0.5984483137126317
Eda_zcr,0.8974358744247213,0.6614035,0.5935672079012865
Eda_mcr,0.8974358744247213,0.6614035,0.5935672079012865
Bvp_perm_entropy,0.857142832653062,0.6509744,0.5579780351071392
Eda_spec_entropy,0.8648648414901394,0.64403194,0.5570005833379013
Eda_cv,0.8421052409972306,0.64737463,0.5451575687900558
Eda_kurtosis,0.8717948494411578,0.5746306,0.5009600131867569
Bvp_skew,0.6216216048210378,0.72625244,0.45145420516802703
Bvp_min,0.8437499736328133,0.5248204,0.4428171879998602
Bvp_p10,0.6842105083102499,0.61763394,0.422591631208735
Eda_peak_rel_power,0.8333333101851859,0.4485582,0.37379849905554097
EDA_tonic_slope,0.7714285493877557,0.44429085,0.34273864328827136
Eda_hjorth_activity,0.8181817933884306,0.41000092,0.33545528825845533
BVP_hr_mean,0.5405405259313372,0.61139005,0.33048110146046844
Eda_std,0.7575757346189171,0.43323714,0.32820994112266
BVP_rr_mean,0.5263157756232691,0.6096769,0.32088256920087316
