topk_s1,topk_s2,loso_mean,loso_std,loso_min,loso_n_below05,val_mean,val_std,val_min
30,20,0.5670731707317074,0.12668244446022245,0.2222222222222222,11,0.5601851851851851,0.08191840309832903,0.4444444444444444
30,30,0.5657181571815718,0.11698964842241644,0.2222222222222222,9,0.5462962962962964,0.0957378263172588,0.3888888888888889
30,44,0.556910569105691,0.12452862038903018,0.25,12,0.5601851851851851,0.06682780749691512,0.4444444444444445
50,20,0.5840108401084011,0.12917231243307303,0.27777777777777773,9,0.5532407407407407,0.08820629112619283,0.4444444444444444
50,30,0.5663956639566395,0.1218552015860144,0.2222222222222222,10,0.5416666666666666,0.08163247411739707,0.4166666666666667
50,44,0.5582655826558266,0.12589262737914866,0.25,12,0.5740740740740741,0.06304708185546805,0.47222222222222215
80,20,0.5772357723577236,0.12492469878834701,0.27777777777777773,9,0.5787037037037036,0.09161946545184602,0.4166666666666667
80,30,0.565040650406504,0.1202187043952811,0.25,12,0.576388888888889,0.09847675439414362,0.4444444444444444
80,44,0.5453929539295392,0.12995667867342472,0.25,11,0.5833333333333334,0.0909792097709688,0.4444444444444444
98,20,0.5745257452574526,0.11426749811808613,0.3055555555555556,10,0.5879629629629629,0.08277026382185089,0.4166666666666667
98,30,0.573170731707317,0.11124230060071069,0.2777777777777778,9,0.5740740740740741,0.0888994101517403,0.4166666666666667
98,44,0.5602981029810299,0.12042594783923447,0.27777777777777773,10,0.6018518518518519,0.08568510896003724,0.4166666666666667
