config,seed,fold,accuracy,balanced_accuracy,macro_f1,macro_auc
median_lp1_small_spo2flag_binary,0,0,0.5328282828282829,0.5328282828282829,0.5328282828282829,0.763262358432813
median_lp1_small_spo2flag_binary,0,1,0.5454545454545454,0.5454545454545455,0.5454545454545455,0.7572840143862871
median_lp1_small_spo2flag_binary,0,2,0.5707070707070707,0.5707070707070707,0.5707070707070707,0.7558013850627487
median_lp1_small_spo2flag_binary,0,3,0.5527777777777778,0.5527777777777778,0.5527777777777778,0.7749189814814814
median_lp1_small_spo2flag_binary,0,4,0.5805555555555556,0.5805555555555556,0.5805555555555556,0.7796006944444445
median_lp1_small_spo2flag_binary,1,0,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.7941823538414448
median_lp1_small_spo2flag_binary,1,1,0.5984848484848485,0.5984848484848485,0.5984848484848485,0.781943487909397
median_lp1_small_spo2flag_binary,1,2,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7767016758494031
median_lp1_small_spo2flag_binary,1,3,0.5722222222222222,0.5722222222222223,0.5722222222222223,0.7641377314814815
median_lp1_small_spo2flag_binary,1,4,0.5805555555555556,0.5805555555555556,0.5805555555555556,0.7527546296296297
median_lp1_small_spo2flag_binary,2,0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7491725971839608
median_lp1_small_spo2flag_binary,2,1,0.5782828282828283,0.5782828282828283,0.5782828282828283,0.7813121747780838
median_lp1_small_spo2flag_binary,2,2,0.5732323232323232,0.5732323232323232,0.5732323232323232,0.7779308233853689
median_lp1_small_spo2flag_binary,2,3,0.5944444444444444,0.5944444444444444,0.5944444444444444,0.7773958333333333
median_lp1_small_spo2flag_binary,2,4,0.5722222222222222,0.5722222222222223,0.5722222222222223,0.7798842592592593
median_lp1_small_spo2flag_binary,3,0,0.5378787878787878,0.537878787878788,0.537878787878788,0.7373737373737373
median_lp1_small_spo2flag_binary,3,1,0.601010101010101,0.601010101010101,0.601010101010101,0.8028820400979493
median_lp1_small_spo2flag_binary,3,2,0.5454545454545454,0.5454545454545455,0.5454545454545455,0.7712207300275482
median_lp1_small_spo2flag_binary,3,3,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.7671006944444444
median_lp1_small_spo2flag_binary,3,4,0.6055555555555555,0.6055555555555555,0.6055555555555555,0.7936111111111112
median_lp1_small_spo2flag_binary,4,0,0.5404040404040404,0.5404040404040404,0.5404040404040404,0.7318114860728496
median_lp1_small_spo2flag_binary,4,1,0.5606060606060606,0.5606060606060607,0.5606060606060607,0.7695707070707071
median_lp1_small_spo2flag_binary,4,2,0.5631313131313131,0.5631313131313131,0.5631313131313131,0.7503108738904194
median_lp1_small_spo2flag_binary,4,3,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.797650462962963
median_lp1_small_spo2flag_binary,4,4,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.7905034722222223
median_lp1_small_spo2flag_all,0,0,0.5378787878787878,0.537878787878788,0.537878787878788,0.7665576216712581
median_lp1_small_spo2flag_all,0,1,0.5454545454545454,0.5454545454545455,0.5454545454545455,0.7569253137434956
median_lp1_small_spo2flag_all,0,2,0.5707070707070707,0.5707070707070707,0.5707070707070707,0.7588049051117234
median_lp1_small_spo2flag_all,0,3,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.7742824074074074
median_lp1_small_spo2flag_all,0,4,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.7795601851851851
median_lp1_small_spo2flag_all,1,0,0.6237373737373737,0.6237373737373737,0.6237373737373737,0.7943545301499847
median_lp1_small_spo2flag_all,1,1,0.6111111111111112,0.611111111111111,0.611111111111111,0.7823500153045608
median_lp1_small_spo2flag_all,1,2,0.5858585858585859,0.5858585858585859,0.5858585858585859,0.7741668579736762
median_lp1_small_spo2flag_all,1,3,0.5555555555555556,0.5555555555555555,0.5555555555555555,0.7600983796296296
median_lp1_small_spo2flag_all,1,4,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.7548668981481481
median_lp1_small_spo2flag_all,2,0,0.5505050505050505,0.5505050505050505,0.5505050505050505,0.7487660697887971
median_lp1_small_spo2flag_all,2,1,0.5707070707070707,0.5707070707070708,0.5707070707070708,0.7815752219161309
median_lp1_small_spo2flag_all,2,2,0.5808080808080808,0.5808080808080808,0.5808080808080808,0.7767255892255892
median_lp1_small_spo2flag_all,2,3,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7780844907407407
median_lp1_small_spo2flag_all,2,4,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7816898148148148
median_lp1_small_spo2flag_all,3,0,0.5303030303030303,0.5303030303030304,0.5303030303030304,0.7370580808080808
median_lp1_small_spo2flag_all,3,1,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.8040346648301194
median_lp1_small_spo2flag_all,3,2,0.5454545454545454,0.5454545454545455,0.5454545454545455,0.7700489745944291
median_lp1_small_spo2flag_all,3,3,0.5944444444444444,0.5944444444444444,0.5944444444444444,0.7666608796296295
median_lp1_small_spo2flag_all,3,4,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.791707175925926
median_lp1_small_spo2flag_all,4,0,0.5328282828282829,0.5328282828282829,0.5328282828282829,0.730022765534129
