config,seed,fold,n_val_subjects,accuracy,balanced_accuracy,macro_f1,macro_auc
baseline,0,0,11,0.5782828282828283,0.5782828282828283,0.5782828282828283,0.77273205540251
baseline,0,1,11,0.5984848484848485,0.5984848484848485,0.5984848484848485,0.7798821548821548
baseline,0,2,11,0.5126262626262627,0.5126262626262627,0.5126262626262627,0.7389902816039179
baseline,0,3,10,0.5722222222222222,0.5722222222222223,0.5722222222222223,0.7815740740740741
baseline,0,4,10,0.5888888888888889,0.5888888888888889,0.5888888888888889,0.7807233796296296
spo2flag_binary,0,0,11,0.5808080808080808,0.5808080808080808,0.5808080808080808,0.7736025022956841
spo2flag_binary,0,1,11,0.601010101010101,0.601010101010101,0.601010101010101,0.779059534741353
spo2flag_binary,0,2,11,0.5126262626262627,0.5126262626262627,0.5126262626262627,0.7392868074686256
spo2flag_binary,0,3,10,0.5694444444444444,0.5694444444444445,0.5694444444444445,0.7816319444444444
spo2flag_binary,0,4,10,0.5805555555555556,0.5805555555555556,0.5805555555555556,0.7803645833333333
median_lp1_small,0,0,11,0.547979797979798,0.547979797979798,0.547979797979798,0.762133647076829
median_lp1_small,0,1,11,0.5606060606060606,0.5606060606060607,0.5606060606060607,0.7578961968166514
median_lp1_small,0,2,11,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.7548209366391184
median_lp1_small,0,3,10,0.5527777777777778,0.5527777777777778,0.5527777777777778,0.775167824074074
median_lp1_small,0,4,10,0.5944444444444444,0.5944444444444444,0.5944444444444444,0.7794560185185184
