config,seed,fold,n_val_subjects,accuracy,balanced_accuracy,macro_f1,macro_auc
baseline,0,0,27,0.5442386831275721,0.5442386831275721,0.5442386831275721,0.7670681870141746
baseline,0,1,26,0.5747863247863247,0.5747863247863249,0.5747863247863249,0.7751470729235153
spo2flag_binary,0,0,27,0.5524691358024691,0.5524691358024691,0.5524691358024691,0.7657099400497892
spo2flag_binary,0,1,26,0.5822649572649573,0.5822649572649573,0.5822649572649573,0.7751128301008109
median_lp1_small,0,0,27,0.5606995884773662,0.5606995884773662,0.5606995884773662,0.7561275910684347
median_lp1_small,0,1,26,0.5587606837606838,0.5587606837606838,0.5587606837606838,0.7625722523559061
top_best_mission_default,0,0,27,0.558641975308642,0.558641975308642,0.558641975308642,0.7571206752019509
top_best_mission_default,0,1,26,0.5608974358974359,0.5608974358974359,0.5608974358974359,0.7619456087004165
top_combined_oldbest_xgb,0,0,27,0.5267489711934157,0.5267489711934157,0.5267489711934157,0.7067321737031955
top_combined_oldbest_xgb,0,1,26,0.5438034188034188,0.5438034188034188,0.5438034188034188,0.7629198170063555
top_truncate_xgb_noanchor,0,0,27,0.5174897119341564,0.5174897119341564,0.5174897119341564,0.7474216328811666
top_truncate_xgb_noanchor,0,1,26,0.5395299145299145,0.5395299145299145,0.5395299145299145,0.7647175651983344
top_tuning_svm_poly,0,0,27,0.5545267489711934,0.5545267489711935,0.5545267489711935,0.7425157496316618
top_tuning_svm_poly,0,1,26,0.5576923076923077,0.5576923076923077,0.5576923076923077,0.7486217263861495
top_edadtlp1_core_bvpresp,0,0,27,0.5637860082304527,0.5637860082304527,0.5637860082304527,0.76311172712493
top_edadtlp1_core_bvpresp,0,1,26,0.561965811965812,0.561965811965812,0.561965811965812,0.7582841948827527
