split,accuracy,balanced_accuracy,macro_f1,modality,n_features
train_loso,0.5284552845528455,0.5284552845528455,0.5284552845528455,bvp,62
validation,0.4791666666666667,0.4791666666666667,0.4791666666666667,bvp,62
train_loso,0.47831978319783197,0.478319783197832,0.478319783197832,eda,55
validation,0.5092592592592593,0.5092592592592592,0.5092592592592592,eda,55
train_loso,0.39227642276422764,0.3922764227642277,0.3922764227642277,resp,53
validation,0.40046296296296297,0.40046296296296297,0.40046296296296297,resp,53
train_loso,0.4369918699186992,0.4369918699186992,0.4369918699186992,spo2,42
validation,0.3958333333333333,0.3958333333333333,0.3958333333333333,spo2,42
train_loso,0.5677506775067751,0.5677506775067751,0.5677506775067751,bvp_eda,117
validation,0.5694444444444444,0.5694444444444445,0.5694444444444445,bvp_eda,117
train_loso,0.5792682926829268,0.5792682926829268,0.5792682926829268,all,212
validation,0.5393518518518519,0.5393518518518519,0.5393518518518519,all,212
