stage1_model,stage1_norm,stage1_anchor_mode,stage2_model,stage2_norm,w0,w1,w2,train_loso_macro_f1,val_macro_f1,train_loso_accuracy,val_accuracy,modality
xgb,subject_z,none,xgb,subject_z,0.8,1.2,1.4,0.5311653116531166,0.5300925925925926,0.5311653116531165,0.5300925925925926,bvp
xgb,subject_z,none,xgb,subject_z,1.0,1.0,1.0,0.5311653116531165,0.5254629629629629,0.5311653116531165,0.5254629629629629,bvp
xgb,subject_z,none,xgb,subject_z,0.6,1.4,1.6,0.5311653116531165,0.5254629629629629,0.5311653116531165,0.5254629629629629,bvp
xgb,subject_z,none,xgb,subject_robust,0.8,1.2,1.4,0.5318428184281844,0.5462962962962963,0.5318428184281843,0.5462962962962963,bvp
xgb,subject_z,none,xgb,subject_robust,1.0,1.0,1.0,0.5345528455284553,0.5115740740740741,0.5345528455284553,0.5115740740740741,bvp
xgb,subject_z,none,xgb,subject_robust,0.6,1.4,1.6,0.5304878048780487,0.5115740740740741,0.5304878048780488,0.5115740740740741,bvp
xgb,subject_z,none,logreg,subject_z,0.8,1.2,1.4,0.5331978319783198,0.4976851851851852,0.5331978319783198,0.4976851851851852,bvp
xgb,subject_z,none,logreg,subject_z,1.0,1.0,1.0,0.5271002710027101,0.5277777777777778,0.5271002710027101,0.5277777777777778,bvp
xgb,subject_z,none,logreg,subject_z,0.6,1.4,1.6,0.5392953929539296,0.5300925925925926,0.5392953929539296,0.5300925925925926,bvp
xgb,subject_z,none,logreg,subject_robust,0.8,1.2,1.4,0.5304878048780488,0.5023148148148148,0.5304878048780488,0.5023148148148148,bvp
xgb,subject_z,none,logreg,subject_robust,1.0,1.0,1.0,0.5311653116531165,0.5185185185185185,0.5311653116531165,0.5185185185185185,bvp
xgb,subject_z,none,logreg,subject_robust,0.6,1.4,1.6,0.5304878048780487,0.5185185185185185,0.5304878048780488,0.5185185185185185,bvp
xgb,subject_z,center,xgb,subject_z,0.8,1.2,1.4,0.5284552845528455,0.5300925925925926,0.5284552845528455,0.5300925925925926,bvp
xgb,subject_z,center,xgb,subject_z,1.0,1.0,1.0,0.5264227642276423,0.5162037037037037,0.5264227642276422,0.5162037037037037,bvp
xgb,subject_z,center,xgb,subject_z,0.6,1.4,1.6,0.5291327913279132,0.5254629629629629,0.5291327913279132,0.5254629629629629,bvp
xgb,subject_z,center,xgb,subject_robust,0.8,1.2,1.4,0.5325203252032521,0.513888888888889,0.532520325203252,0.5138888888888888,bvp
xgb,subject_z,center,xgb,subject_robust,1.0,1.0,1.0,0.5264227642276422,0.5162037037037037,0.5264227642276422,0.5162037037037037,bvp
xgb,subject_z,center,xgb,subject_robust,0.6,1.4,1.6,0.5223577235772358,0.5092592592592592,0.5223577235772358,0.5092592592592593,bvp
xgb,subject_z,center,logreg,subject_z,0.8,1.2,1.4,0.5359078590785908,0.513888888888889,0.5359078590785907,0.5138888888888888,bvp
xgb,subject_z,center,logreg,subject_z,1.0,1.0,1.0,0.5250677506775068,0.5300925925925926,0.5250677506775068,0.5300925925925926,bvp
xgb,subject_z,center,logreg,subject_z,0.6,1.4,1.6,0.5487804878048781,0.5162037037037037,0.5487804878048781,0.5162037037037037,bvp
xgb,subject_z,center,logreg,subject_robust,0.8,1.2,1.4,0.5128726287262872,0.5162037037037037,0.5128726287262872,0.5162037037037037,bvp
xgb,subject_z,center,logreg,subject_robust,1.0,1.0,1.0,0.5284552845528455,0.5254629629629629,0.5284552845528455,0.5254629629629629,bvp
xgb,subject_z,center,logreg,subject_robust,0.6,1.4,1.6,0.5223577235772358,0.5185185185185185,0.5223577235772358,0.5185185185185185,bvp
xgb,subject_robust,none,xgb,subject_z,0.8,1.2,1.4,0.5453929539295393,0.5393518518518519,0.5453929539295393,0.5393518518518519,bvp
xgb,subject_robust,none,xgb,subject_z,1.0,1.0,1.0,0.543360433604336,0.5324074074074074,0.5433604336043361,0.5324074074074074,bvp
xgb,subject_robust,none,xgb,subject_z,0.6,1.4,1.6,0.5426829268292682,0.5347222222222222,0.5426829268292683,0.5347222222222222,bvp
xgb,subject_robust,none,xgb,subject_robust,0.8,1.2,1.4,0.535230352303523,0.5069444444444444,0.535230352303523,0.5069444444444444,bvp
xgb,subject_robust,none,xgb,subject_robust,1.0,1.0,1.0,0.5338753387533876,0.5300925925925926,0.5338753387533876,0.5300925925925926,bvp
xgb,subject_robust,none,xgb,subject_robust,0.6,1.4,1.6,0.5372628726287263,0.5162037037037037,0.5372628726287263,0.5162037037037037,bvp
xgb,subject_robust,none,logreg,subject_z,0.8,1.2,1.4,0.5474254742547425,0.5046296296296297,0.5474254742547425,0.5046296296296297,bvp
xgb,subject_robust,none,logreg,subject_z,1.0,1.0,1.0,0.5413279132791328,0.5023148148148148,0.5413279132791328,0.5023148148148148,bvp
xgb,subject_robust,none,logreg,subject_z,0.6,1.4,1.6,0.5392953929539296,0.5023148148148148,0.5392953929539296,0.5023148148148148,bvp
xgb,subject_robust,none,logreg,subject_robust,0.8,1.2,1.4,0.5460704607046071,0.5254629629629629,0.5460704607046071,0.5254629629629629,bvp
xgb,subject_robust,none,logreg,subject_robust,1.0,1.0,1.0,0.5392953929539296,0.513888888888889,0.5392953929539296,0.5138888888888888,bvp
xgb,subject_robust,none,logreg,subject_robust,0.6,1.4,1.6,0.537940379403794,0.5162037037037037,0.537940379403794,0.5162037037037037,bvp
xgb,subject_robust,center,xgb,subject_z,0.8,1.2,1.4,0.5365853658536586,0.5069444444444445,0.5365853658536586,0.5069444444444444,bvp
