split,modality,class,precision,recall,f1,support
train_loso,bvp,NoPain,0.7276422764227642,0.7276422764227642,0.7276422764227642,492
train_loso,bvp,PainArm,0.4634146341463415,0.4634146341463415,0.4634146341463415,492
train_loso,bvp,PainHand,0.4959349593495935,0.4959349593495935,0.4959349593495935,492
validation,bvp,NoPain,0.6736111111111112,0.6736111111111112,0.6736111111111112,144
validation,bvp,PainArm,0.4375,0.4375,0.4375,144
validation,bvp,PainHand,0.4236111111111111,0.4236111111111111,0.4236111111111111,144
train_loso,eda,NoPain,0.6199186991869918,0.6199186991869918,0.6199186991869918,492
train_loso,eda,PainArm,0.3861788617886179,0.3861788617886179,0.3861788617886179,492
train_loso,eda,PainHand,0.516260162601626,0.516260162601626,0.516260162601626,492
validation,eda,NoPain,0.6458333333333334,0.6458333333333334,0.6458333333333334,144
validation,eda,PainArm,0.3888888888888889,0.3888888888888889,0.3888888888888889,144
validation,eda,PainHand,0.5,0.5,0.5,144
train_loso,resp,NoPain,0.42073170731707316,0.42073170731707316,0.42073170731707316,492
train_loso,resp,PainArm,0.38414634146341464,0.38414634146341464,0.38414634146341464,492
train_loso,resp,PainHand,0.42886178861788615,0.42886178861788615,0.42886178861788615,492
validation,resp,NoPain,0.4236111111111111,0.4236111111111111,0.4236111111111111,144
validation,resp,PainArm,0.3888888888888889,0.3888888888888889,0.3888888888888889,144
validation,resp,PainHand,0.4166666666666667,0.4166666666666667,0.4166666666666667,144
train_loso,spo2,NoPain,0.483739837398374,0.483739837398374,0.483739837398374,492
train_loso,spo2,PainArm,0.3780487804878049,0.3780487804878049,0.3780487804878049,492
train_loso,spo2,PainHand,0.4491869918699187,0.4491869918699187,0.4491869918699187,492
validation,spo2,NoPain,0.4861111111111111,0.4861111111111111,0.4861111111111111,144
validation,spo2,PainArm,0.3333333333333333,0.3333333333333333,0.3333333333333333,144
validation,spo2,PainHand,0.3680555555555556,0.3680555555555556,0.3680555555555556,144
train_loso,bvp_eda,NoPain,0.7560975609756098,0.7560975609756098,0.7560975609756098,492
train_loso,bvp_eda,PainArm,0.4796747967479675,0.4796747967479675,0.4796747967479675,492
train_loso,bvp_eda,PainHand,0.5182926829268293,0.5182926829268293,0.5182926829268293,492
validation,bvp_eda,NoPain,0.6944444444444444,0.6944444444444444,0.6944444444444444,144
validation,bvp_eda,PainArm,0.3958333333333333,0.3958333333333333,0.3958333333333333,144
validation,bvp_eda,PainHand,0.4305555555555556,0.4305555555555556,0.4305555555555556,144
train_loso,all,NoPain,0.766260162601626,0.766260162601626,0.766260162601626,492
train_loso,all,PainArm,0.491869918699187,0.491869918699187,0.491869918699187,492
train_loso,all,PainHand,0.5182926829268293,0.5182926829268293,0.5182926829268293,492
validation,all,NoPain,0.7430555555555556,0.7430555555555556,0.7430555555555556,144
validation,all,PainArm,0.4652777777777778,0.4652777777777778,0.4652777777777778,144
validation,all,PainHand,0.4375,0.4375,0.4375,144
