split,modality,n_features,accuracy,balanced_accuracy,macro_f1
train_loso,bvp,62,0.5623306233062331,0.5623306233062331,0.5623306233062331
validation,bvp,62,0.5115740740740741,0.5115740740740741,0.5115740740740741
train_loso,eda,55,0.5074525745257452,0.5074525745257453,0.5074525745257453
validation,eda,55,0.5115740740740741,0.5115740740740741,0.5115740740740741
train_loso,resp,53,0.41124661246612465,0.4112466124661247,0.4112466124661247
validation,resp,53,0.4097222222222222,0.40972222222222227,0.40972222222222227
train_loso,spo2,42,0.4369918699186992,0.4369918699186992,0.4369918699186992
validation,spo2,42,0.3958333333333333,0.3958333333333333,0.3958333333333333
train_loso,bvp_eda,117,0.5846883468834688,0.5846883468834688,0.5846883468834688
validation,bvp_eda,117,0.5069444444444444,0.5069444444444444,0.5069444444444444
train_loso,all,212,0.592140921409214,0.592140921409214,0.592140921409214
validation,all,212,0.5486111111111112,0.5486111111111112,0.5486111111111112
