k,feat_added,loso_auc,val_auc
1,Bvp_p90,0.8127416716240332,0.8250265239197531
2,Eda_spec_spread,0.8605905876131931,0.8663435570987653
3,Eda_energy,0.8799852518342257,0.8786168981481481
4,Eda_hjorth_complexity,0.88672417211977,0.8950376157407407
5,Eda_bp_higher,0.8900456077731509,0.8931688850308642
6,Eda_mean_abs,0.8929177820741621,0.8883463541666667
7,BVP_env_std,0.8943048119505584,0.8882137345679011
8,Bvp_bp_vhf_rel,0.8970148390508296,0.8957489390432098
9,Eda_spec_bandwidth,0.8970148390508296,0.8957489390432098
10,Eda_mean,0.8970148390508296,0.8957489390432098
11,Eda_hjorth_mobility,0.896566610483178,0.8956163194444445
12,Eda_rms,0.8956556943618217,0.895339023919753
13,BVP_peak_amp_mean,0.8957465794170136,0.893530574845679
14,Bvp_spec_flatness,0.8956846123339282,0.89453125
15,Bvp_cv,0.8951010889682067,0.892602237654321
16,Bvp_std,0.8963559224006874,0.8928915895061729
17,Bvp_hjorth_activity,0.8950814660585631,0.8930844907407407
18,Bvp_zcr,0.8943275332143565,0.8942660108024691
19,Bvp_mcr,0.8943275332143565,0.8942660108024691
20,Bvp_total_power,0.8936665509947783,0.8904803240740741
21,Bvp_rms,0.8924044880692709,0.8927710262345679
22,Eda_dfa_alpha,0.8930076343446361,0.8934702932098766
23,Bvp_energy,0.8931233062330624,0.8934944058641976
24,Bvp_spec_centroid,0.8934930431621388,0.8922164351851852
25,Bvp_mean_freq,0.8934930431621388,0.8922164351851852
