k,feat_added,loso_auc,val_auc
1,Bvp_p90,0.8127416716240332,0.8250265239197531
2,Bvp_diff_std,0.8480515483508494,0.8396267361111112
3,Bvp_peak_rel_power,0.852685653380924,0.840868537808642
4,Bvp_max,0.8548627635666601,0.8413146219135803
5,Bvp_range,0.8549980583647301,0.8415195794753085
6,Bvp_bp_vhf_rel,0.8573621025844403,0.8518639081790124
7,Bvp_bp_vhf,0.8591901315354618,0.8560474537037038
8,Bvp_zcr,0.8595040980897614,0.8524064429012346
9,Bvp_mcr,0.8595040980897614,0.8524064429012346
10,Bvp_petrosian_fd,0.8592520986185472,0.8499228395061729
11,BVP_peak_amp_mean,0.8597240812347149,0.8510320216049383
12,Bvp_hjorth_mobility,0.861199930596867,0.8480420524691359
13,Bvp_n_extrema,0.860929341000727,0.847776813271605
14,Bvp_hjorth_complexity,0.8600969165179457,0.8518759645061729
15,Bvp_spec_centroid,0.8612825533743141,0.8501157407407408
16,Bvp_mean_freq,0.8612825533743141,0.8501157407407408
17,Bvp_spec_flatness,0.8608095379734285,0.8540461033950618
18,Bvp_dfa_alpha,0.8619311421772755,0.846583236882716
19,BVP_env_std,0.8605255221759536,0.8495129243827161
20,Bvp_rms,0.8612908156520589,0.8477285879629629
21,Bvp_p10,0.8602807521977657,0.8523582175925924
22,Bvp_min,0.860032883865424,0.853491512345679
23,Bvp_perm_entropy,0.8592892788683986,0.8539255401234567
24,Bvp_iqr,0.8603055390310002,0.8579041280864197
25,Bvp_energy,0.860578194196576,0.8579041280864197
