k,feat_added,loso_auc,val_auc
1,Eda_dfa_alpha,0.7453968785114681,0.7358338155864198
2,Eda_rms,0.7931951880494414,0.7914737654320988
3,Eda_spec_spread,0.8059159974221692,0.803638599537037
4,Eda_range,0.8173840389318527,0.8119815779320987
5,Eda_spec_centroid,0.8235962390111705,0.8175636574074074
6,Eda_hjorth_mobility,0.8239349923987045,0.8212528935185185
7,EDA_scr_count,0.8259602832308811,0.8233265817901235
8,Eda_spec_bandwidth,0.8259602832308811,0.8233265817901235
9,Eda_mean_freq,0.8259602832308811,0.8233265817901235
10,EDA_range,0.8259602832308811,0.8233265817901235
11,Eda_spec_flatness,0.8258838571617424,0.8204451195987654
12,Eda_spec_entropy,0.8264911345759798,0.8223741319444445
13,Eda_n_extrema,0.8279690495075683,0.8195529513888888
14,EDA_scr_rate,0.8277666237028225,0.8177565586419754
15,Eda_petrosian_fd,0.8250307769845991,0.8185402199074074
16,EDA_tonic_slope,0.8255430382047724,0.8185522762345679
17,Eda_p90,0.8248789576310397,0.8198061342592592
18,Eda_energy,0.8246155975279263,0.8237847222222222
19,Eda_samp_entropy,0.8247622529578955,0.8264612268518519
20,Eda_bp_higher_rel,0.8245680894308944,0.8263647762345678
21,Eda_max,0.8227142408619208,0.8275945216049384
22,Eda_std,0.8228216504726023,0.8279320987654322
23,Eda_min,0.8234247967479675,0.8291377314814816
24,Eda_mean_abs,0.8243078276819353,0.8273292824074073
25,Eda_hjorth_activity,0.8245732533544847,0.8277391975308642
