k,feat_added,loso_auc,val_auc
1,RESP_rate,0.5596092355740631,0.5016878858024691
2,Resp_dfa_alpha,0.5874376198030272,0.5694203317901234
3,Resp_spec_edge_95,0.5899782702095313,0.566502700617284
4,Resp_peak_freq,0.5882989622579153,0.566502700617284
5,Resp_skew,0.5887089777909975,0.5610773533950617
6,Resp_min,0.590994530372133,0.5748336226851852
7,Resp_hjorth_activity,0.599363184942825,0.5599802276234568
8,Resp_rms,0.6075397415559523,0.5549768518518519
9,Resp_n_extrema,0.60948860631899,0.5304181134259259
10,Resp_iqr,0.6225399068015071,0.5508535879629629
11,Resp_median,0.6350407330292815,0.570095486111111
12,Resp_mean_abs,0.6374574492696146,0.5727840470679012
13,RESP_ie_ratio,0.6398452475378412,0.5563271604938271
