k,feat_added,loso_auc,val_auc
1,SpO2_peak_power,0.5758828243770242,0.595823688271605
2,SpO2_zcr,0.5887255023464869,0.5867573302469136
3,SpO2_iqr,0.6037649134113292,0.6106529706790124
4,SpO2_samp_entropy,0.6098211629982153,0.601297260802469
5,SpO2_median,0.6156026918500892,0.6188753858024691
6,SpO2_std,0.6173966389054135,0.637574749228395
7,SpO2_diff_std,0.6274136178861789,0.6163917824074074
8,SpO2_perm_entropy,0.6357926003040518,0.6369237075617283
9,SpO2_petrosian_fd,0.6374305968669443,0.6375988618827161
10,SpO2_mcr,0.6374305968669443,0.6375988618827161
11,SPO2_std,0.6366157297243704,0.6400342399691358
