model,feature_set,norm,calibration,anchor,anchor_lambda,scaler,n_features,loso_acc_mean,loso_acc_std,loso_acc_min,val_acc_mean,val_acc_std,val_acc_min,loso_auc,val_auc
logreg,bvp_eda_resp_small,subject_z,isotonic,none,0.5,std,70,0.8495934959349594,0.12223694321240011,0.4444444444444444,0.8425925925925926,0.07465053470646803,0.7222222222222222,0.9059411973692908,0.8909866898148149
logreg,bvp_eda_core,subject_z,isotonic,none,0.5,std,98,0.8455284552845528,0.11145758657278476,0.5,0.8009259259259259,0.09744243138819067,0.6111111111111112,0.8986879502941371,0.8752772955246912
xgb,eda_bvp_fwd8,subject_z,isotonic,none,0.5,std,8,0.8455284552845528,0.10591665173909377,0.5555555555555556,0.8194444444444443,0.08820629112619281,0.6666666666666666,0.8839428828739506,0.8544560185185185
xgb,bvp_eda_resp_small,subject_z,isotonic,none,0.5,std,70,0.8428184281842819,0.11438433382333485,0.5,0.8240740740740741,0.08735167714867224,0.6666666666666666,0.899412965166237,0.8646677276234569
xgb,bvp_eda_core,subject_z,isotonic,none,0.5,std,98,0.8428184281842819,0.12804698812929483,0.3888888888888889,0.8425925925925926,0.09842727604383932,0.6111111111111112,0.9004932579813603,0.8844521604938271
xgb,bvp_eda_core,subject_z,sigmoid,center,0.5,std,98,0.8414634146341463,0.1161207874559813,0.4444444444444444,0.8333333333333334,0.1014301032416974,0.6111111111111112,0.8742460671557933,0.8955680941358024
logreg,bvp_eda_core,subject_robust,isotonic,none,0.5,std,98,0.8401084010840107,0.12220689849197273,0.4444444444444444,0.7870370370370371,0.08735167714867227,0.6666666666666666,0.8955389896886774,0.8610026041666665
logreg,bvp_eda_core,subject_z,sigmoid,none,0.5,std,98,0.8387533875338754,0.11165508983443177,0.5,0.7962962962962963,0.08881169487616145,0.6111111111111112,0.8948294665873487,0.8782069830246915
logreg,bvp_eda_resp_small,subject_robust,isotonic,none,0.5,std,70,0.8373983739837398,0.13237587796010636,0.3888888888888889,0.8287037037037036,0.0862404444916535,0.6666666666666666,0.9018493043162139,0.864233699845679
logreg,bvp_eda_resp_small,subject_z,isotonic,center,0.5,std,70,0.8373983739837398,0.1147049183472537,0.5,0.8287037037037037,0.06975240358018223,0.7222222222222222,0.8940590091876528,0.8898292824074073
logreg,eda_bvp_fwd8,subject_robust,isotonic,none,0.5,std,8,0.8373983739837398,0.11001508471644682,0.5,0.8055555555555555,0.0578240555407259,0.7222222222222222,0.8850211101196378,0.8562644675925926
xgb,bvp_eda_core,subject_z,isotonic,center,0.5,std,98,0.8373983739837397,0.11665714498661725,0.4444444444444444,0.8333333333333334,0.09351393461446368,0.6666666666666666,0.8886224304316214,0.8956886574074074
logreg,bvp_eda_core,subject_robust,sigmoid,center,0.5,std,98,0.8373983739837397,0.10724313787213755,0.5,0.7916666666666666,0.07216878364870322,0.6666666666666666,0.8808620860598848,0.8598572530864197
logreg,eda_bvp_fwd8,subject_z,isotonic,none,0.5,std,8,0.8360433604336044,0.11956411066913701,0.4444444444444444,0.7962962962962963,0.08586683792125649,0.6111111111111112,0.8897109855244895,0.8570119598765431
logreg,bvp_eda_resp_small,subject_z,sigmoid,center,0.5,std,70,0.8360433604336044,0.11175371057189842,0.5,0.8425925925925926,0.07112171988767228,0.7222222222222222,0.8874884328111573,0.8858265817901234
logreg,bvp_eda_core,subject_robust,isotonic,center,0.5,std,98,0.8360433604336042,0.11242530359182405,0.5,0.7824074074074074,0.06194022296416505,0.6666666666666666,0.8879635137814793,0.8627989969135803
xgb,eda_bvp_fwd8,subject_robust,isotonic,none,0.5,std,8,0.8360433604336042,0.10693452388590166,0.5,0.8194444444444443,0.06464925946189325,0.7222222222222222,0.9019092058298632,0.8844401041666666
logreg,bvp_eda_core,subject_z,sigmoid,center,0.5,std,98,0.8346883468834689,0.11008182120102926,0.5,0.7962962962962963,0.08881169487616145,0.6111111111111112,0.879139401150109,0.8689477237654322
logreg,bvp_eda_resp_small,subject_z,sigmoid,none,0.5,std,70,0.8346883468834688,0.11800293255868424,0.4444444444444444,0.8287037037037037,0.07334712739701323,0.7222222222222222,0.9022841066825301,0.8901909722222221
xgb,bvp_eda_resp_small,subject_robust,isotonic,none,0.5,std,70,0.8346883468834686,0.13013774746388043,0.5,0.8564814814814815,0.057638424064762626,0.7222222222222222,0.8982614102055655,0.901463638117284
