strategy,model,subject,loso_macro_f1,val_macro_f1
global,logreg,1,0.5833333333333334,
global,logreg,2,0.5,
global,logreg,4,0.3333333333333333,
global,logreg,5,0.5833333333333334,
global,logreg,6,0.5833333333333334,
global,logreg,8,0.5833333333333334,
global,logreg,11,0.5,
global,logreg,12,0.5,
global,logreg,13,0.4166666666666667,
global,logreg,15,0.5,
global,logreg,16,0.5833333333333334,
global,logreg,18,0.6666666666666666,
global,logreg,21,0.75,
global,logreg,22,0.6666666666666666,
global,logreg,24,0.75,
global,logreg,25,0.5833333333333334,
global,logreg,27,0.5,
global,logreg,28,0.6666666666666666,
global,logreg,29,0.5,
global,logreg,30,0.5833333333333334,
global,logreg,34,0.5833333333333334,
global,logreg,36,0.5833333333333334,
global,logreg,37,0.5833333333333334,
global,logreg,41,0.5,
global,logreg,42,0.6666666666666666,
global,logreg,43,0.6666666666666666,
global,logreg,44,0.5833333333333334,
global,logreg,45,0.75,
global,logreg,46,0.5833333333333334,
global,logreg,47,0.5833333333333334,
global,logreg,48,0.5,
global,logreg,49,0.6666666666666666,
global,logreg,52,0.5,
global,logreg,53,0.6666666666666666,
global,logreg,55,0.3333333333333333,
global,logreg,56,0.5,
global,logreg,57,0.4166666666666667,
global,logreg,58,0.5,
global,logreg,59,0.75,
global,logreg,60,0.6666666666666666,
global,logreg,63,0.3333333333333333,
global,logreg,7,,0.6666666666666666
global,logreg,9,,0.5833333333333334
global,logreg,10,,0.5833333333333334
global,logreg,14,,0.5833333333333334
global,logreg,19,,0.5
global,logreg,35,,0.5833333333333334
global,logreg,38,,0.5
global,logreg,39,,0.5833333333333334
global,logreg,40,,0.4166666666666667
global,logreg,61,,0.6666666666666666
global,logreg,62,,0.5833333333333334
global,logreg,65,,0.3333333333333333
global,xgb,1,0.6666666666666666,
global,xgb,2,0.5,
global,xgb,4,0.5,
global,xgb,5,0.5,
global,xgb,6,0.4166666666666667,
global,xgb,8,0.4166666666666667,
global,xgb,11,0.5,
global,xgb,12,0.5,
global,xgb,13,0.5,
global,xgb,15,0.5,
global,xgb,16,0.6666666666666666,
global,xgb,18,0.5,
global,xgb,21,0.5833333333333334,
global,xgb,22,0.5,
global,xgb,24,0.5,
global,xgb,25,0.4166666666666667,
global,xgb,27,0.4166666666666667,
global,xgb,28,0.6666666666666666,
global,xgb,29,0.4166666666666667,
global,xgb,30,0.5833333333333334,
global,xgb,34,0.5,
global,xgb,36,0.6666666666666666,
global,xgb,37,0.6666666666666666,
global,xgb,41,0.5833333333333334,
global,xgb,42,0.6666666666666666,
global,xgb,43,0.5,
global,xgb,44,0.6666666666666666,
global,xgb,45,0.5,
global,xgb,46,0.4166666666666667,
global,xgb,47,0.5,
global,xgb,48,0.4166666666666667,
global,xgb,49,0.5833333333333334,
global,xgb,52,0.5833333333333334,
global,xgb,53,0.5833333333333334,
global,xgb,55,0.4166666666666667,
