model,feature_set,norm,calibration,anchor,scaler,n_features,loso_acc_mean,loso_acc_std,loso_acc_min,val_acc_mean,val_acc_std,val_acc_min,loso_auc,val_auc
logreg,all_top40,subject_robust,isotonic,none,robust,40,0.573170731707317,0.10604225577841936,0.3333333333333333,0.5347222222222222,0.08645763609714396,0.4166666666666667,0.5900071881816379,0.5488040123456791
logreg,bvp_resp_top30,subject_z,isotonic,none,robust,30,0.573170731707317,0.09773020552984803,0.3333333333333333,0.548611111111111,0.08645763609714396,0.4166666666666667,0.5905690230682794,0.56616512345679
logreg,eda_resp_top30,subject_robust,isotonic,none,robust,30,0.5630081300813009,0.10697314932472167,0.3333333333333333,0.5555555555555555,0.09820927516479827,0.4166666666666667,0.5852274605063124,0.5369405864197532
logreg,eda_resp_top30,subject_robust,sigmoid,none,robust,30,0.5589430894308943,0.10451187099335317,0.3333333333333333,0.5486111111111112,0.06326689985516874,0.4166666666666667,0.5674945468966884,0.5456693672839505
logreg,resp_top20,subject_robust,isotonic,none,robust,20,0.5589430894308942,0.0995312564771975,0.3333333333333333,0.5208333333333334,0.09081039465709737,0.3333333333333333,0.5702066395663956,0.537085262345679
logreg,resp_top20,subject_z,isotonic,none,robust,20,0.5569105691056911,0.09815200380202956,0.4166666666666667,0.5486111111111112,0.05334128991575423,0.5,0.5783181307422831,0.5594618055555556
logreg,bvp_resp_top30,subject_z,sigmoid,none,robust,30,0.5548780487804879,0.0984461873033523,0.3333333333333333,0.5277777777777778,0.0856168611523469,0.3333333333333333,0.5755048251702028,0.5597993827160493
logreg,resp_top20,subject_robust,sigmoid,none,robust,20,0.5528455284552846,0.09869764668438198,0.3333333333333333,0.5208333333333334,0.07701761462784316,0.4166666666666667,0.5536139202855443,0.5392071759259259
logreg,all_top40,subject_z,isotonic,none,robust,40,0.5528455284552846,0.10693452388590166,0.3333333333333333,0.548611111111111,0.08645763609714396,0.4166666666666667,0.5821084506576772,0.5699749228395062
logreg,eda_resp_top30,subject_z,isotonic,none,robust,30,0.5528455284552846,0.09869764668438198,0.3333333333333333,0.5277777777777778,0.07081971546656647,0.4166666666666667,0.5693969363474123,0.546657986111111
logreg,all_top40,subject_robust,sigmoid,none,robust,40,0.5528455284552846,0.11893283608396579,0.3333333333333333,0.5138888888888888,0.0666087711571211,0.4166666666666667,0.5730054861524225,0.548755787037037
logreg,resp_all,subject_robust,isotonic,none,robust,44,0.5508130081300814,0.10060462333954943,0.25,0.5486111111111112,0.09894310311649308,0.4166666666666667,0.5590938759997356,0.5657793209876543
logreg,resp_all,subject_robust,sigmoid,none,robust,44,0.5487804878048781,0.09907363908092634,0.3333333333333333,0.5555555555555555,0.08561686115234687,0.4166666666666667,0.5447195782933438,0.5693962191358024
logreg,resp_top20,subject_z,sigmoid,none,robust,20,0.5467479674796748,0.10580825272211682,0.3333333333333333,0.5416666666666666,0.05379143536399191,0.4166666666666667,0.5622893119175094,0.5647183641975309
logreg,bvp_resp_top30,subject_robust,isotonic,none,robust,30,0.5447154471544717,0.09220566034320127,0.3333333333333333,0.5277777777777778,0.07081971546656646,0.4166666666666667,0.5810942560645119,0.5465856481481481
