experiment,modality,n_s1_feats,n_s2_feats,loso_mean,loso_std,loso_min,loso_max,val_mean,val_std,val_min,val_max,val_acc,val_NoPain_P,val_NoPain_R,val_NoPain_F1,val_PainArm_P,val_PainArm_R,val_PainArm_F1,val_PainHand_P,val_PainHand_R,val_PainHand_F1
A_baseline,BVP,30,30,0.5535230352303524,0.1195397300655197,0.25,0.75,0.5509259259259259,0.07660857605013607,0.4444444444444444,0.6666666666666666,0.5509259259259259,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.4652777777777778,0.4652777777777778,0.4652777777777778,0.4791666666666667,0.4791666666666667,0.4791666666666667
B_weighted,BVP,30,30,0.5602981029810298,0.11383847783783306,0.2222222222222222,0.7777777777777777,0.5439814814814815,0.0620659262349433,0.4444444444444444,0.6666666666666666,0.5439814814814815,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.4652777777777778,0.4652777777777778,0.4652777777777778,0.4583333333333333,0.4583333333333333,0.4583333333333333
C_exclude,BVP,30,30,0.5508130081300813,0.11865085839103162,0.19444444444444442,0.75,0.5416666666666667,0.07989541424018372,0.4166666666666667,0.6666666666666666,0.5416666666666666,0.6875,0.6875,0.6875,0.4513888888888889,0.4513888888888889,0.4513888888888889,0.4861111111111111,0.4861111111111111,0.4861111111111111
D_sign_correct,BVP,30,30,0.5555555555555556,0.11963808592976684,0.25,0.8333333333333334,0.5370370370370371,0.08568510896003725,0.4444444444444444,0.6944444444444445,0.5370370370370371,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444
E_weighted+exclude,BVP,30,30,0.5508130081300813,0.11022256507289978,0.2222222222222222,0.7222222222222223,0.5462962962962963,0.07237099414210331,0.4444444444444444,0.6666666666666666,0.5462962962962963,0.6875,0.6875,0.6875,0.4652777777777778,0.4652777777777778,0.4652777777777778,0.4861111111111111,0.4861111111111111,0.4861111111111111
A_baseline,EDA,30,30,0.5291327913279134,0.11023110184749901,0.3055555555555556,0.7222222222222222,0.5092592592592593,0.1227109908696426,0.25,0.638888888888889,0.5092592592592593,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.4375,0.4375,0.4375,0.4513888888888889,0.4513888888888889,0.4513888888888889
B_weighted,EDA,30,30,0.5115176151761518,0.11719055815040105,0.19444444444444442,0.7222222222222222,0.5254629629629629,0.11076862198704941,0.3055555555555555,0.6944444444444445,0.5254629629629629,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4513888888888889,0.4513888888888889,0.4513888888888889,0.4583333333333333,0.4583333333333333,0.4583333333333333
C_exclude,EDA,30,30,0.4972899728997291,0.10011661372856434,0.24999999999999997,0.6944444444444445,0.5324074074074074,0.12525693757841375,0.3055555555555555,0.75,0.5324074074074074,0.6527777777777778,0.6527777777777778,0.6527777777777778,0.4652777777777778,0.4652777777777778,0.4652777777777778,0.4791666666666667,0.4791666666666667,0.4791666666666667
D_sign_correct,EDA,30,30,0.505420054200542,0.11706603473684986,0.25,0.6944444444444445,0.5370370370370371,0.10812485335576709,0.3888888888888889,0.6944444444444445,0.5370370370370371,0.6527777777777778,0.6527777777777778,0.6527777777777778,0.4652777777777778,0.4652777777777778,0.4652777777777778,0.4930555555555556,0.4930555555555556,0.4930555555555556
E_weighted+exclude,EDA,30,30,0.5067750677506775,0.11432512789853051,0.27777777777777773,0.7222222222222223,0.5254629629629629,0.12278242445920066,0.25,0.6944444444444445,0.5254629629629629,0.6597222222222222,0.6597222222222222,0.6597222222222222,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333
A_baseline,EDA+BVP,30,30,0.5670731707317073,0.10503813419730909,0.3333333333333333,0.75,0.5439814814814815,0.09285526714187801,0.38888888888888884,0.6944444444444445,0.5439814814814815,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.4513888888888889,0.4513888888888889,0.4513888888888889,0.4722222222222222,0.4722222222222222,0.4722222222222222
B_weighted,EDA+BVP,30,30,0.5684281842818428,0.10151201826608552,0.3055555555555556,0.7222222222222223,0.5555555555555555,0.04587349021359835,0.47222222222222227,0.6666666666666666,0.5555555555555556,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4791666666666667,0.4791666666666667,0.4791666666666667
C_exclude,EDA+BVP,30,30,0.5718157181571816,0.10918037971478328,0.27777777777777773,0.7777777777777777,0.5300925925925927,0.06851226197661454,0.4166666666666667,0.6666666666666666,0.5300925925925926,0.7152777777777778,0.7152777777777778,0.7152777777777778,0.4236111111111111,0.4236111111111111,0.4236111111111111,0.4513888888888889,0.4513888888888889,0.4513888888888889
D_sign_correct,EDA+BVP,30,30,0.5663956639566394,0.11126344570926727,0.3055555555555556,0.8055555555555555,0.5416666666666666,0.09363886978656139,0.38888888888888884,0.6944444444444443,0.5416666666666666,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.4375,0.4375,0.4375,0.4652777777777778,0.4652777777777778,0.4652777777777778
E_weighted+exclude,EDA+BVP,30,30,0.5718157181571816,0.10299818891418688,0.25,0.7777777777777777,0.5555555555555557,0.07766947726883686,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667
A_baseline,All,30,30,0.5670731707317073,0.10503813419730909,0.3333333333333333,0.75,0.5439814814814815,0.09285526714187801,0.38888888888888884,0.6944444444444445,0.5439814814814815,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.4513888888888889,0.4513888888888889,0.4513888888888889,0.4722222222222222,0.4722222222222222,0.4722222222222222
B_weighted,All,30,30,0.5684281842818428,0.10151201826608552,0.3055555555555556,0.7222222222222223,0.5555555555555555,0.04587349021359835,0.47222222222222227,0.6666666666666666,0.5555555555555556,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4791666666666667,0.4791666666666667,0.4791666666666667
C_exclude,All,30,30,0.5718157181571816,0.10918037971478328,0.27777777777777773,0.7777777777777777,0.5300925925925927,0.06851226197661454,0.4166666666666667,0.6666666666666666,0.5300925925925926,0.7152777777777778,0.7152777777777778,0.7152777777777778,0.4236111111111111,0.4236111111111111,0.4236111111111111,0.4513888888888889,0.4513888888888889,0.4513888888888889
D_sign_correct,All,30,30,0.5663956639566394,0.11126344570926727,0.3055555555555556,0.8055555555555555,0.5416666666666666,0.09363886978656139,0.38888888888888884,0.6944444444444443,0.5416666666666666,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.4375,0.4375,0.4375,0.4652777777777778,0.4652777777777778,0.4652777777777778
E_weighted+exclude,All,30,30,0.5718157181571816,0.10299818891418688,0.25,0.7777777777777777,0.5555555555555557,0.07766947726883686,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667
