resample,s1_feat,s1_norm,s2_feat,s2_model,s2_cal,w0,w1,w2,loso_acc,loso_f1,val_acc,val_f1
1022,all,subject_z,resp_all,xgb,isotonic,0.8,1.2,1.4,0.558266,0.558266,0.56713,0.56713
1022,all,subject_z,resp_all,xgb,isotonic,1.0,1.0,1.0,0.558266,0.558266,0.56713,0.56713
1022,all,subject_z,resp_all,xgb,isotonic,0.6,1.2,1.4,0.558266,0.558266,0.56713,0.56713
1022,all,subject_z,resp_all,logreg,sigmoid,1.0,1.0,1.0,0.579268,0.579268,0.56713,0.56713
1022,all,subject_z,resp_all,logreg,sigmoid,0.6,1.2,1.4,0.578591,0.578591,0.56713,0.56713
1022,all,subject_z,resp_all,logreg,sigmoid,0.8,1.2,1.4,0.578591,0.578591,0.56713,0.56713
1022,all,subject_z,resp_all,logreg,isotonic,1.0,1.0,1.0,0.581301,0.581301,0.5625,0.5625
1022,all,subject_robust,resp_all,xgb,isotonic,0.8,1.2,1.4,0.560976,0.560976,0.5625,0.5625
1022,all,subject_robust,resp_all,xgb,isotonic,0.6,1.2,1.4,0.560976,0.560976,0.5625,0.5625
1022,all,subject_robust,resp_all,xgb,isotonic,1.0,1.0,1.0,0.562331,0.562331,0.5625,0.5625
1022,all,subject_z,resp_all,logreg,none,1.0,1.0,1.0,0.577236,0.577236,0.560185,0.560185
1022,all,subject_z,resp_top20,logreg,isotonic,0.8,1.2,1.4,0.588076,0.588076,0.55787,0.55787
1022,all,subject_z,resp_top20,xgb,sigmoid,1.0,1.0,1.0,0.560976,0.560976,0.55787,0.55787
1022,all,subject_z,resp_all,logreg,isotonic,0.8,1.2,1.4,0.584011,0.584011,0.55787,0.55787
1022,all,subject_z,resp_top20,xgb,sigmoid,0.8,1.2,1.4,0.560976,0.560976,0.55787,0.55787
1022,all,subject_z,resp_top20,logreg,isotonic,1.0,1.0,1.0,0.587398,0.587398,0.55787,0.55787
1022,all,subject_z,resp_top20,xgb,none,1.0,1.0,1.0,0.552168,0.552168,0.555556,0.555556
1022,all,subject_z,resp_all,logreg,isotonic,0.6,1.2,1.4,0.583333,0.583333,0.555556,0.555556
1022,all,subject_robust,resp_all,xgb,sigmoid,0.8,1.2,1.4,0.562331,0.562331,0.555556,0.555556
1022,all,subject_z,resp_top20,logreg,sigmoid,1.0,1.0,1.0,0.588076,0.588076,0.555556,0.555556
1022,all,subject_z,resp_top20,logreg,none,1.0,1.0,1.0,0.585366,0.585366,0.553241,0.553241
1022,all,subject_z,resp_top20,logreg,sigmoid,0.8,1.2,1.4,0.588753,0.588753,0.553241,0.553241
1022,all,subject_z,resp_top20,xgb,none,0.8,1.2,1.4,0.554201,0.554201,0.553241,0.553241
1022,all,subject_z,resp_top20,logreg,isotonic,0.6,1.2,1.4,0.588076,0.588076,0.553241,0.553241
1022,all,subject_z,resp_top20,logreg,sigmoid,0.6,1.2,1.4,0.588753,0.588753,0.553241,0.553241
1022,all,subject_z,resp_all,logreg,none,0.6,1.2,1.4,0.575881,0.575881,0.553241,0.553241
1022,all,subject_z,resp_all,logreg,none,0.8,1.2,1.4,0.575881,0.575881,0.553241,0.553241
1022,all,subject_z,resp_top20,xgb,none,0.6,1.2,1.4,0.554878,0.554878,0.553241,0.553241
1022,all,subject_z,resp_top20,xgb,sigmoid,0.6,1.2,1.4,0.560976,0.560976,0.550926,0.550926
1022,all,subject_z,resp_top20,xgb,isotonic,1.0,1.0,1.0,0.581301,0.581301,0.548611,0.548611
1022,all,subject_z,resp_top20,logreg,none,0.8,1.2,1.4,0.586043,0.586043,0.546296,0.546296
1022,all,subject_z,resp_top20,logreg,none,0.6,1.2,1.4,0.586043,0.586043,0.546296,0.546296
1022,all,subject_z,resp_all,xgb,none,1.0,1.0,1.0,0.542005,0.542005,0.539352,0.539352
1022,all,subject_z,resp_all,xgb,none,0.8,1.2,1.4,0.538618,0.538618,0.539352,0.539352
1022,all,subject_z,resp_all,xgb,none,0.6,1.2,1.4,0.539295,0.539295,0.537037,0.537037
1022,all,subject_z,resp_top20,xgb,isotonic,0.6,1.2,1.4,0.583333,0.583333,0.537037,0.537037
1022,all,subject_z,resp_top20,xgb,isotonic,0.8,1.2,1.4,0.581978,0.581978,0.537037,0.537037
1022,all,subject_z,resp_all,xgb,sigmoid,0.8,1.2,1.4,0.558943,0.558943,0.534722,0.534722
1022,all,subject_z,resp_all,xgb,sigmoid,1.0,1.0,1.0,0.558266,0.558266,0.534722,0.534722
1022,all,subject_z,resp_all,xgb,sigmoid,0.6,1.2,1.4,0.558943,0.558943,0.530093,0.530093
