,logreg,rf,xgb,blended_rank_mean
Bvp_slope_mean__temporal_features,0.49970880309472815,0.0013057877162202922,0.004111204254184134,1203.3333333333333
ppg_fall_time_mean__morphology_coupling_features,1.2337781349227446,0.0016281107397972411,0.002640937782534891,1186.6666666666667
Resp_w5_std__temporal_features,0.3615199517335412,0.0013067956581787393,0.0046224128228628735,1185.0
Bvp_slope_std__temporal_features,0.3229944439968628,0.0014065466366502395,0.0033501073929613017,1178.6666666666667
SPO2_dip_magnitude__all_features_merged,0.4233782077866181,0.001340956350091869,0.0028610653711197797,1173.6666666666667
bvp_env_eda_xcorr_at_zero__morphology_coupling_features,0.3434759912893272,0.0017812808514986334,0.002904753186890304,1172.0
Resp_diff_std__all_features_merged,0.2479244832217638,0.0014340242281136464,0.005193724133232559,1172.0
ratio_BVP_RESP_envcorr__reactivity_features,0.4212672294645512,0.0012160353044698737,0.0031549382883065426,1170.3333333333333
ppg_notch_time_frac_mean__morphology_coupling_features,0.9749220008747495,0.0013479903020134469,0.0025666584931017134,1169.3333333333333
SPO2_slope__all_features_merged,0.42397374234711255,0.0012272887158369789,0.002872484698779546,1163.0
SpO2_range__all_features_merged,0.6063603620689653,0.0012059113614572487,0.0027074485199289106,1162.0
SpO2_cv__all_features_merged,0.5244728453302739,0.001073120643576288,0.003551127019928909,1159.0
dcor_bvp_resp__morphology_coupling_features,0.3835605130925831,0.0012643959939921308,0.0028711731322175653,1156.6666666666667
resp_bvp_kuiper_V__morphology_coupling_features,0.32133679756990263,0.0012270837416206856,0.0031289869371607976,1153.3333333333333
ratdd_ratio_Resp_hjorth_mobility__zdev_Eda_skew__reactivity_interaction_features,0.4520729518568646,0.0011870981983690347,0.0026749503012832385,1146.0
resp_bvp_plv__morphology_coupling_features,0.3126241950681002,0.0012103190302381395,0.0030143256550099456,1143.0
ppg_rise_frac_std__morphology_coupling_features,0.4916677366098004,0.0011985226541406351,0.002532587450617486,1140.0
SpO2_hjorth_activity__all_features_merged,0.7827096383872582,0.0011477726599022388,0.0024325436776546014,1129.1666666666667
Eda_w5_kurt__temporal_features,0.19164684525944592,0.0015138844755749187,0.003262433978876678,1129.0
Eda_w5_std__temporal_features,0.334573586371957,0.0012344789391445492,0.002557752619338282,1125.0
Bvp_slope_range__temporal_features,0.2588382945078601,0.0011526318812260699,0.003065527248228462,1121.6666666666667
Bvp_w1_rms__temporal_features,0.26583924508469087,0.0011019528748970064,0.0032181137443491204,1118.6666666666667
ratdd_ratio_Bvp_mad__zdev_raw_Eda_skew__reactivity_interaction_features,0.5670342681272125,0.0011921821200211672,0.0022582617889394608,1114.6666666666667
Eda_w5_range__temporal_features,0.23522356824537066,0.0011785781830492123,0.0029748421504813233,1111.0
ratdd_ratio_Eda_p90__delta_BVP_peak_amp_std__reactivity_interaction_features,0.4084727672580155,0.0012715531346047689,0.0022200141015777256,1108.0
Resp_w3_kurt__temporal_features,0.1580963718900098,0.0023080547449302836,0.003539276543714715,1107.0
SpO2_energy__all_features_merged,0.5175805097225932,0.001006216262589274,0.0025971693639948875,1098.0
ppg_halfwidth_std__morphology_coupling_features,0.16742985931679513,0.001281416910780288,0.003356093270062914,1093.0
ratio_EDA_tonic_slope__reactivity_features,0.19497075277300024,0.0010920617094462356,0.0038373662438527713,1090.3333333333333
mi_bvp_resp__morphology_coupling_features,0.3069460316590165,0.001036009146063639,0.0028244280674931195,1089.6666666666667
