model,fold,held_out_subject,n_test,acc,macro_f1,balanced_acc
logreg,0,1,24,0.625,0.6243478260869566,0.625
logreg,1,2,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
logreg,2,4,24,0.625,0.6243478260869566,0.625
logreg,3,5,24,0.7916666666666666,0.791304347826087,0.7916666666666667
logreg,4,6,24,0.5,0.49650349650349646,0.5
logreg,5,8,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
logreg,6,11,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
logreg,7,12,24,0.375,0.3739130434782609,0.375
logreg,8,13,24,0.5,0.5,0.5
logreg,9,15,24,0.375,0.36507936507936506,0.375
logreg,10,16,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
logreg,11,18,24,0.6666666666666666,0.6643356643356644,0.6666666666666667
logreg,12,21,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
logreg,13,22,24,0.5416666666666666,0.5343915343915344,0.5416666666666666
logreg,14,24,24,0.5,0.5,0.5
logreg,15,25,24,0.4166666666666667,0.4125874125874126,0.41666666666666663
logreg,16,27,24,0.625,0.6243478260869566,0.625
logreg,17,28,24,0.7083333333333334,0.7078260869565217,0.7083333333333333
logreg,18,29,24,0.5416666666666666,0.5408695652173914,0.5416666666666667
logreg,19,30,24,0.375,0.3739130434782609,0.375
logreg,20,34,24,0.625,0.6243478260869566,0.625
logreg,21,36,24,0.625,0.6243478260869566,0.625
logreg,22,37,24,0.5833333333333334,0.5833333333333334,0.5833333333333334
logreg,23,41,24,0.625,0.6243478260869566,0.625
logreg,24,42,24,0.625,0.6243478260869566,0.625
logreg,25,43,24,0.5,0.49650349650349646,0.5
logreg,26,44,24,0.625,0.6243478260869566,0.625
logreg,27,45,24,0.4583333333333333,0.45739130434782604,0.45833333333333337
logreg,28,46,24,0.4166666666666667,0.4125874125874126,0.41666666666666663
logreg,29,47,24,0.7083333333333334,0.7078260869565217,0.7083333333333333
logreg,30,48,24,0.625,0.6243478260869566,0.625
logreg,31,49,24,0.5833333333333334,0.5833333333333334,0.5833333333333334
logreg,32,52,24,0.5,0.5,0.5
