feature,mean_rank,logreg_global_norm_imp,rf_global_norm_imp,xgb_global_norm_imp,logreg_subjectz_norm_imp,rf_subjectz_norm_imp,xgb_subjectz_norm_imp
Eda_spec_bandwidth,7.833333333333333,0.02037673625063548,0.0102130118454047,0.00796649473721117,0.026442073668367583,0.011826039879220918,0.011425713781669313
Bvp_diff_std,14.833333333333334,0.011550896125334859,0.0060762468829763175,0.009556556191959513,0.011767946208368461,0.00949358835895652,0.009451669736461478
Bvp_p90,16.5,0.005067348222258505,0.006621590217756253,0.009964831542647557,0.01854168964582118,0.018928039032297197,0.05948425860972722
Bvp_peak_power,24.333333333333332,0.013584167659826757,0.004656181504210215,0.009503112154392531,0.015728600000016333,0.01278115490462263,0.006747525795808164
Eda_dfa_alpha,27.0,0.004244956908297094,0.013278652567870097,0.013832480309843895,0.004803341159268433,0.014732457720715011,0.016414575691120436
Bvp_total_power,29.333333333333332,0.007627399253022156,0.004432487393313055,0.008536340448294846,0.02058063609188405,0.012374203507160172,0.009287674084238423
Eda_median,31.833333333333332,0.02123076401512539,0.004745664740027379,0.008198548604027921,0.006734137388352911,0.005652733497977022,0.009373078018677415
Bvp_mean,34.166666666666664,0.004006887521759165,0.013873266026335136,0.0133509786301076,0.005110732220992527,0.006015267149071234,0.008697300038692735
Eda_energy,35.166666666666664,0.017358147831236785,0.004132717436707089,0.009874052913948099,0.01103578420927411,0.005851823915870244,0.008497355910387815
Bvp_energy,40.0,0.0074649053737379815,0.011336884316781268,0.007395461364686138,0.002673389102816414,0.006401502050438199,0.006685236215536101
Eda_hjorth_complexity,40.333333333333336,0.0033126550758415976,0.012282167325434218,0.01152779736075206,0.003281457183731577,0.009572395290484644,0.012706362418296827
Eda_bp_higher_rel,40.333333333333336,0.00419037894459534,0.007265696301283653,0.007161384047736184,0.014047162493200269,0.005415845767628521,0.00575267568063128
Eda_p90,40.5,0.007734447752793173,0.004643250836815276,0.005849123268690678,0.015588178772811321,0.005943720238050397,0.011195784479763455
Eda_max,43.166666666666664,0.007762569258681311,0.0046672103791252145,0.006225950962935807,0.006774742259627597,0.0059805238458042545,0.009423934590457771
Bvp_median,44.0,0.008265754005060473,0.0073063328770132056,0.006621194048537737,0.008322769925538622,0.005158157591547579,0.005080968804646948
Eda_hjorth_mobility,44.333333333333336,0.0049155410773048126,0.01155582723660151,0.007476427302039212,0.002337388941166192,0.009368999906738716,0.009034606059908377
Bvp_spec_entropy,44.666666666666664,0.0053824087804746935,0.004582415512312191,0.006732120601086137,0.00925310284578566,0.007625437821687028,0.0067486414767814005
Bvp_bp_vhf,44.666666666666664,0.008007577453902114,0.004614312868354142,0.006803404671576617,0.0035816353374158974,0.012368482324220494,0.009823313738374808
Eda_bp_higher,45.5,0.0011350353126015117,0.01449833368647046,0.01994458877212284,0.005837922233513104,0.009351455418040942,0.00927016168179301
Eda_p10,46.0,0.008589504801413017,0.0042367870162136915,0.007442068184106181,0.008445178492917019,0.005177196062587346,0.0066771777905322675
