model,preprocessing,label_scheme,subject_held_out,n_val,accuracy,balanced_accuracy,macro_f1,f1_NoPain,f1_PainArm,f1_PainHand,f1_Pain
logreg,global,3class,1,36,0.4722222222222222,0.47222222222222215,0.482276071410197,0.631578947368421,0.36363636363636365,0.45161290322580644,
logreg,global,3class,2,36,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,
logreg,global,3class,4,36,0.4444444444444444,0.4444444444444444,0.3751803751803752,0.6285714285714286,0.36363636363636365,0.13333333333333333,
logreg,global,3class,5,36,0.4166666666666667,0.4166666666666667,0.4308161708619374,0.631578947368421,0.2608695652173913,0.4,
logreg,global,3class,6,36,0.5,0.5,0.5185185185185185,0.6666666666666666,0.37037037037037035,0.5185185185185185,
logreg,global,3class,8,36,0.3888888888888889,0.38888888888888884,0.4047619047619048,0.7272727272727273,0.21428571428571427,0.2727272727272727,
logreg,global,3class,11,36,0.5555555555555556,0.5555555555555555,0.5208728652751423,0.7096774193548387,0.35294117647058826,0.5,
logreg,global,3class,12,36,0.5833333333333334,0.5833333333333334,0.5646803791086913,0.6896551724137931,0.5833333333333334,0.42105263157894735,
logreg,global,3class,13,36,0.4722222222222222,0.47222222222222215,0.40370370370370373,0.6,0.0,0.6111111111111112,
logreg,global,3class,15,36,0.4444444444444444,0.4444444444444445,0.3541666666666667,0.5625,0.0,0.5,
logreg,global,3class,16,36,0.4444444444444444,0.4444444444444444,0.43756449948400417,0.5263157894736842,0.47058823529411764,0.3157894736842105,
logreg,global,3class,18,36,0.4166666666666667,0.4166666666666667,0.3853021978021978,0.5625,0.3076923076923077,0.2857142857142857,
logreg,global,3class,21,36,0.3888888888888889,0.3888888888888889,0.3292282430213465,0.6428571428571429,0.3448275862068966,0.0,
logreg,global,3class,22,36,0.3888888888888889,0.38888888888888884,0.3923350041771094,0.42105263157894735,0.38095238095238093,0.375,
logreg,global,3class,24,36,0.4444444444444444,0.4444444444444444,0.3547008547008547,0.5641025641025641,0.0,0.5,
logreg,global,3class,25,36,0.3611111111111111,0.3611111111111111,0.22149481723949807,0.5106382978723404,0.15384615384615385,0.0,
logreg,global,3class,27,36,0.3611111111111111,0.3611111111111111,0.305019305019305,0.2857142857142857,0.14285714285714285,0.4864864864864865,
logreg,global,3class,28,36,0.4444444444444444,0.4444444444444444,0.42979242979242976,0.5714285714285714,0.3333333333333333,0.38461538461538464,
logreg,global,3class,29,36,0.5,0.5000000000000001,0.5025618503879373,0.6086956521739131,0.4444444444444444,0.45454545454545453,
logreg,global,3class,30,36,0.4722222222222222,0.47222222222222227,0.4448099415204678,0.5625,0.10526315789473684,0.6666666666666666,
logreg,global,3class,34,36,0.5555555555555556,0.5555555555555555,0.5072681704260652,0.8,0.14285714285714285,0.5789473684210527,
logreg,global,3class,36,36,0.3611111111111111,0.3611111111111111,0.25616921269095183,0.5945945945945946,0.0,0.17391304347826086,
logreg,global,3class,37,36,0.3888888888888889,0.3888888888888889,0.35220430107526884,0.48,0.45161290322580644,0.125,
logreg,global,3class,41,36,0.5,0.5000000000000001,0.4619047619047619,0.5,0.6,0.2857142857142857,
logreg,global,3class,42,36,0.5555555555555556,0.5555555555555556,0.5168513782324524,0.6956521739130435,0.5882352941176471,0.26666666666666666,
logreg,global,3class,43,36,0.5277777777777778,0.5277777777777778,0.5222854433380749,0.5,0.5405405405405406,0.5263157894736842,
logreg,global,3class,44,36,0.6388888888888888,0.6388888888888888,0.6098891730605286,0.782608695652174,0.6470588235294118,0.4,
logreg,global,3class,45,36,0.5833333333333334,0.5833333333333334,0.5140667761357416,0.8571428571428571,0.13333333333333333,0.5517241379310345,
logreg,global,3class,46,36,0.2777777777777778,0.2777777777777778,0.14814814814814814,0.4444444444444444,0.0,0.0,
logreg,global,3class,47,36,0.3611111111111111,0.3611111111111111,0.3077526395173454,0.5294117647058824,0.24,0.15384615384615385,
logreg,global,3class,48,36,0.5,0.5,0.5050167224080268,0.782608695652174,0.38461538461538464,0.34782608695652173,
logreg,global,3class,49,36,0.5277777777777778,0.5277777777777778,0.46172839506172836,0.7333333333333333,0.13333333333333333,0.5185185185185185,
logreg,global,3class,52,36,0.6388888888888888,0.638888888888889,0.6227815916603102,0.7333333333333333,0.6086956521739131,0.5263157894736842,
logreg,global,3class,53,36,0.5555555555555556,0.5555555555555555,0.5284251684930802,0.7096774193548387,0.45454545454545453,0.42105263157894735,
logreg,global,3class,55,36,0.3888888888888889,0.38888888888888884,0.3115079365079365,0.5238095238095238,0.2857142857142857,0.125,
logreg,global,3class,56,36,0.3611111111111111,0.36111111111111116,0.32222222222222224,0.14285714285714285,0.4666666666666667,0.35714285714285715,
