feature,count_ok,count_fallback,count_nan
BVP_hr_mean,1908,0,0
BVP_peak_count,0,0,0
BVP_rr_mean,0,0,0
BVP_sdnn,0,0,0
BVP_rmssd,0,0,0
BVP_pnn20,0,0,0
BVP_peak_amp_mean,0,0,0
BVP_peak_amp_std,0,0,0
BVP_risetime_mean,0,0,0
BVP_env_std,0,0,0
EDA_tonic_mean,1908,0,0
EDA_tonic_slope,0,0,0
EDA_scr_count,1908,0,0
EDA_scr_amp_mean,0,0,0
EDA_scr_rate,0,0,0
EDA_phasic_auc,0,0,0
EDA_range,0,0,0
RESP_rate,1908,0,0
RESP_interval_std,0,0,0
RESP_amp_mean,0,0,0
RESP_amp_std,0,0,0
RESP_ie_ratio,0,0,0
SPO2_mean,1908,0,0
SPO2_std,0,0,0
SPO2_min,0,0,0
SPO2_dip_magnitude,0,0,0
SPO2_dip_count,0,0,0
SPO2_slope,0,0,0
BVP_RESP_envcorr,1908,0,0
