signal,stat,F,p,eta_sq,n_NoPain,n_PainArm,n_PainHand
Bvp,rms,24.17643385537149,1.5053713666608491e-09,0.2872114289957562,41,41,41
Bvp,mean,22.73963455971026,4.229208724093442e-09,0.2748336354240919,41,41,41
Eda,kurtosis,6.336332769548962,0.0024209592656207436,0.09551828545544175,41,41,41
Eda,skew,4.418465472205431,0.014075133171797535,0.06859004541348258,41,41,41
Bvp,kurtosis,2.8371079325984727,0.06253220071452717,0.045150199077297844,41,41,41
Bvp,diff_std,2.7424389369606206,0.06845280083810987,0.043709472940891475,41,41,41
Eda,range,2.087897846109258,0.12842739404580136,0.03362809691647656,41,41,41
Eda,max,2.0403268009692623,0.1344715509467311,0.03288710595472536,41,41,41
Bvp,median,1.923284584108178,0.15060380840999948,0.031059149995432158,41,41,41
Bvp,iqr,1.9102332022898951,0.15252064335587334,0.030854886235822464,41,41,41
Eda,rms,1.8272828417955105,0.16529715502887662,0.029554636041036857,41,41,41
Eda,mean,1.820433793508071,0.16639954417570432,0.02944712098897049,41,41,41
SpO2,skew,1.8012865834013532,0.1696341686044332,0.029871445295118763,40,40,40
Bvp,mad,1.7237365209306421,0.1827858191433185,0.02792663921676427,41,41,41
Eda,median,1.7181899430272365,0.18377404801820907,0.02783927954810914,41,41,41
SpO2,kurtosis,1.6416026321692476,0.19809834642933535,0.027295624997049343,40,40,40
Bvp,std,1.558184071274868,0.21474696138343738,0.02531237876462914,41,41,41
Bvp,cv,1.5322354982666835,0.22024872946937377,0.024901346194546176,41,41,41
Resp,median,1.504826523257594,0.22621591179868508,0.024466803799349877,41,41,41
Resp,mean,1.4240393777509888,0.24477814066013098,0.023183746822531576,41,41,41
Bvp,n_extrema,1.3647090026991133,0.2593906261028085,0.02223931352202901,41,41,41
SpO2,iqr,1.2964530416924807,0.2773028620096855,0.021150539343779997,41,41,41
Bvp,max,1.2671786208230045,0.28536594367080714,0.020682829687090013,41,41,41
Eda,min,1.0208933467306471,0.36338026492399694,0.01673022616908873,41,41,41
Eda,cv,1.015413579010952,0.36534356310190047,0.016641919138941162,41,41,41
Resp,cv,0.9201366490020041,0.4012572510692785,0.015103982026558346,41,41,41
SpO2,std,0.9080793292628634,0.40605114598753067,0.014909012716586905,41,41,41
SpO2,cv,0.8833710429534205,0.4160577095099292,0.014509233437980934,41,41,41
SpO2,range,0.873426037238724,0.42015575478819056,0.014348231964213977,41,41,41
Bvp,range,0.8216285093536233,0.44217314924270035,0.013508821277734558,41,41,41
SpO2,mad,0.6443199246041602,0.5268260155550063,0.010624571689569737,41,41,41
SpO2,diff_std,0.6052772670682456,0.5475811327516928,0.009987203992170197,41,41,41
Resp,skew,0.43814540901165927,0.6462599911828096,0.0072494846763833404,41,41,41
Eda,std,0.4120143385068927,0.6632481006707389,0.0068200728450842725,41,41,41
Resp,kurtosis,0.29195371062178355,0.7473320372037433,0.00484233289276128,41,41,41
Bvp,min,0.24503399791654715,0.7830685735669437,0.004067289561576818,41,41,41
Resp,min,0.2045427423909252,0.8153034653183902,0.0033974635978242136,41,41,41
SpO2,min,0.16959613035524088,0.8442075598078701,0.0028186350127366176,41,41,41
Resp,n_extrema,0.1653605312758069,0.8477808725976927,0.002748434145754827,41,41,41
Resp,diff_std,0.16051101154015052,0.8518909992656837,0.0026680460129296472,41,41,41
Bvp,skew,0.15387320665057705,0.8575496203575795,0.002557993333562516,41,41,41
Resp,mad,0.09146780275490766,0.9126542617208295,0.001522142928096584,41,41,41
SpO2,mean,0.0861122750139202,0.9175478574461454,0.0014331477233837833,41,41,41
SpO2,rms,0.07588613830389951,0.9269661872754741,0.0012631713517998987,41,41,41
SpO2,median,0.07500190737994133,0.9277851716848097,0.0012484711610259184,41,41,41
Resp,range,0.06118322275317148,0.940680199367161,0.0010186816088230703,41,41,41
Resp,iqr,0.05366955956470282,0.9477679640418624,0.0008936932573532436,41,41,41
Resp,rms,0.04677603524114211,0.9543184946650729,0.0007789932837308182,41,41,41
Resp,std,0.037212263534924885,0.9634827173047481,0.0006198199771764908,41,41,41
Resp,max,0.03338163115895817,0.9671783651294957,0.000556051154406937,41,41,41
Eda,iqr,0.022863858505112904,0.977399795561968,0.00038091915372466886,41,41,41
SpO2,max,0.018409618511849905,0.9817615756060033,0.00030673286128148053,41,41,41
Eda,mad,0.017503963007639147,0.9826508498662264,0.0002916476336374812,41,41,41
Eda,n_extrema,0.01130828976996768,0.9887564621367242,0.00018843598135516627,41,41,41
SpO2,n_extrema,0.008816494616437411,0.9912228987112985,0.00014691998828586075,41,41,41
Eda,diff_std,0.003600948092346852,0.9964056352102741,6.001219985883706e-05,41,41,41
