feature,form,p_raw,p_react
BVP_hr_mean,delta,0.028404024519659288,0.028404024519659288
BVP_peak_count,delta,0.02391939147428198,0.03203355581465631
BVP_rr_mean,delta,0.03843086781580496,0.03843086781580496
BVP_sdnn,delta,0.8575756858699606,0.8575756858699606
BVP_rmssd,delta,0.7778987687379413,0.7778987687379413
BVP_pnn20,delta,0.10808654049699239,0.11158538601557666
BVP_peak_amp_mean,delta,0.29131107634020736,0.29131107634020736
BVP_peak_amp_std,delta,0.979548961537148,0.979548961537148
BVP_risetime_mean,delta,0.22085343144863145,0.22085343144863145
BVP_env_std,delta,0.34791725337890966,0.34791725337890966
EDA_tonic_mean,delta,0.7195597712516246,0.7195597712516246
EDA_tonic_slope,delta,0.61684943961518,0.61684943961518
EDA_scr_count,delta,0.1133152317673217,0.08346202031089221
EDA_scr_amp_mean,delta,0.2972828802967342,0.2972828802967342
EDA_scr_rate,delta,0.10008091696890205,0.08076352382970829
EDA_range,delta,0.5209959815183538,0.5209959815183538
RESP_rate,delta,0.06344208668360807,0.06344208668360807
RESP_interval_std,delta,0.979548961537148,0.979548961537148
RESP_amp_mean,delta,0.08484379739729775,0.08484379739729775
RESP_amp_std,delta,0.0027370042153052054,0.0027370042153052054
RESP_ie_ratio,delta,0.7291827946046396,0.7291827946046396
BVP_RESP_envcorr,delta,0.6534846488639232,0.6534846488639232
Bvp_approx_entropy,delta,0.3821318248692478,0.3821318248692478
Bvp_bp_vhf,delta,0.3156751996402818,0.3156751996402818
Bvp_bp_vhf_rel,delta,0.14440123377244163,0.14440123377244163
Bvp_dfa_alpha,delta,0.14082645391044935,0.14082645391044935
Bvp_dom_freq_cardiac,delta,0.7947716666092365,0.6052051124270644
Bvp_energy,delta,0.979548961537148,0.979548961537148
Bvp_hjorth_activity,delta,0.7195597712516246,0.7195597712516246
Bvp_hjorth_complexity,delta,0.7195597712516246,0.7195597712516246
Bvp_hjorth_mobility,delta,0.48005534486310353,0.48005534486310353
Bvp_iqr,delta,0.928507554411226,0.928507554411226
Bvp_kurtosis,delta,0.9081598007287539,0.9081598007287539
Bvp_mad,delta,0.989773659029197,0.989773659029197
Bvp_max,delta,0.5293899788184717,0.5293899788184717
Bvp_mcr,delta,0.08134801769332889,0.08247574753477238
Bvp_mean,delta,0.989773659029197,0.989773659029197
Bvp_mean_abs,delta,0.989773659029197,0.989773659029197
Bvp_mean_freq,delta,0.3821318248692478,0.3821318248692478
Bvp_min,delta,0.7680801663736929,0.7680801663736929
Bvp_p10,delta,0.8475205228487539,0.8475205228487539
Bvp_p90,delta,0.7877521902091758,0.7877521902091758
Bvp_peak_freq,delta,0.9891555463685502,0.7557500370599349
Bvp_peak_power,delta,0.2626414680380549,0.2626414680380549
Bvp_peak_rel_power,delta,0.2159780677402523,0.2159780677402523
