variant,reducer,label,silhouette
raw,PCA,class,-0.022043381325489886
raw,PCA,subject,-0.44901295487370857
raw,tSNE,class,-0.02323133870959282
raw,tSNE,subject,-0.3513171970844269
raw,UMAP,class,-0.01738312654197216
raw,UMAP,subject,-0.3838489055633545
global_z,PCA,class,-0.0026313388394105025
global_z,PCA,subject,0.10093336231611977
global_z,tSNE,class,-0.00832658726722002
global_z,tSNE,subject,0.2848399877548218
global_z,UMAP,class,-0.005362961906939745
global_z,UMAP,subject,0.3490351140499115
subject_z,PCA,class,0.01669163401128944
subject_z,PCA,subject,-0.047593863410358137
subject_z,tSNE,class,0.020898407325148582
subject_z,tSNE,subject,-0.13719314336776733
subject_z,UMAP,class,0.022456880658864975
subject_z,UMAP,subject,-0.13283111155033112
