config_id,resample_tag,stage1_id,stage2_id,decoder_id,split,macro_f1_mean,macro_f1_std,accuracy_mean,balanced_accuracy_mean,n_subjects
poly1022|xgb_subject_robust|anchor_center_robust|joint_weighted,poly1022,xgb_subject_robust,anchor_center_robust,joint_weighted,train_loso,0.5840108401084011,0.10944723009674867,0.5840108401084011,0.5840108401084011,41
poly1022|xgb_subject_robust|anchor_center_robust|split_topk,poly1022,xgb_subject_robust,anchor_center_robust,split_topk,train_loso,0.5833333333333333,0.10540925533894598,0.5833333333333333,0.5833333333333333,41
linear1022|xgb_subject_z|anchor_z_robust|joint_weighted,linear1022,xgb_subject_z,anchor_z_robust,joint_weighted,train_loso,0.5819783197831978,0.12011299006525039,0.5819783197831978,0.5819783197831978,41
linear1022|xgb_subject_robust|anchor_center_robust|joint_weighted,linear1022,xgb_subject_robust,anchor_center_robust,joint_weighted,train_loso,0.5799457994579946,0.11706201564716583,0.5799457994579946,0.5799457994579946,41
poly1022|xgb_subject_robust|resp_all_std|joint_weighted,poly1022,xgb_subject_robust,resp_all_std,joint_weighted,train_loso,0.5792682926829269,0.11445674414922255,0.5792682926829268,0.5792682926829269,41
linear1022|xgb_subject_z|resp_all_robust|split_topk,linear1022,xgb_subject_z,resp_all_robust,split_topk,train_loso,0.5785907859078591,0.1112676742487732,0.5785907859078591,0.5785907859078591,41
linear1022|xgb_subject_robust|anchor_center_robust|split_topk,linear1022,xgb_subject_robust,anchor_center_robust,split_topk,train_loso,0.5785907859078591,0.10630262658632125,0.5785907859078591,0.5785907859078591,41
poly1022|xgb_subject_robust|resp_all_robust|split_topk,poly1022,xgb_subject_robust,resp_all_robust,split_topk,train_loso,0.5765582655826558,0.1080802756293972,0.5765582655826558,0.5765582655826558,41
linear1022|xgb_subject_z|anchor_center_robust|split_topk,linear1022,xgb_subject_z,anchor_center_robust,split_topk,train_loso,0.5758807588075882,0.11368959362088257,0.5758807588075879,0.5758807588075882,41
truncate1022|logreg_subject_z|resp_all_robust|joint_weighted,truncate1022,logreg_subject_z,resp_all_robust,joint_weighted,train_loso,0.575880758807588,0.11850802022722028,0.5758807588075879,0.575880758807588,41
poly1022|xgb_subject_z|anchor_center_robust|split_topk,poly1022,xgb_subject_z,anchor_center_robust,split_topk,train_loso,0.5758807588075879,0.11232400332241003,0.5758807588075879,0.5758807588075879,41
linear1022|xgb_subject_robust|resp_all_robust|split_topk,linear1022,xgb_subject_robust,resp_all_robust,split_topk,train_loso,0.5752032520325203,0.11756333702044236,0.5752032520325203,0.5752032520325203,41
poly1022|xgb_subject_robust|resp_all_std|split_topk,poly1022,xgb_subject_robust,resp_all_std,split_topk,train_loso,0.5752032520325203,0.1090510241387173,0.5752032520325203,0.5752032520325203,41
linear1022|xgb_subject_robust|resp_all_std|split_topk,linear1022,xgb_subject_robust,resp_all_std,split_topk,train_loso,0.5745257452574526,0.1152759411483953,0.5745257452574526,0.5745257452574526,41
truncate1022|xgb_subject_z|anchor_z_robust|joint_weighted,truncate1022,xgb_subject_z,anchor_z_robust,joint_weighted,train_loso,0.5738482384823849,0.12307307313512743,0.5738482384823849,0.5738482384823849,41
truncate1022|xgb_subject_robust|anchor_center_robust|joint_weighted,truncate1022,xgb_subject_robust,anchor_center_robust,joint_weighted,train_loso,0.5738482384823849,0.11208079580246808,0.5738482384823849,0.5738482384823849,41
linear1022|xgb_subject_z|resp_all_robust|joint_weighted,linear1022,xgb_subject_z,resp_all_robust,joint_weighted,train_loso,0.5738482384823849,0.11973636100090579,0.5738482384823849,0.5738482384823849,41
linear1022|xgb_subject_robust|resp_all_std|joint_weighted,linear1022,xgb_subject_robust,resp_all_std,joint_weighted,train_loso,0.5738482384823849,0.11729489520876657,0.5738482384823849,0.5738482384823849,41
poly1022|xgb_subject_robust|resp_all_robust|joint_weighted,poly1022,xgb_subject_robust,resp_all_robust,joint_weighted,train_loso,0.5738482384823849,0.11597176581705951,0.5738482384823849,0.5738482384823849,41
poly1022|xgb_subject_robust|anchor_z_robust|split_topk,poly1022,xgb_subject_robust,anchor_z_robust,split_topk,train_loso,0.5738482384823849,0.11293806277018589,0.5738482384823849,0.5738482384823849,41
linear1022|xgb_subject_z|anchor_z_robust|split_topk,linear1022,xgb_subject_z,anchor_z_robust,split_topk,train_loso,0.5731707317073171,0.10771835732440069,0.5731707317073171,0.5731707317073171,41
linear1022|xgb_subject_robust|resp_all_robust|joint_weighted,linear1022,xgb_subject_robust,resp_all_robust,joint_weighted,train_loso,0.5724932249322493,0.11913364745544117,0.5724932249322493,0.5724932249322493,41
poly1022|xgb_subject_z|anchor_center_robust|joint_weighted,poly1022,xgb_subject_z,anchor_center_robust,joint_weighted,train_loso,0.5724932249322493,0.1143415882150651,0.5724932249322493,0.5724932249322493,41
linear1022|xgb_subject_z|resp_all_std|split_topk,linear1022,xgb_subject_z,resp_all_std,split_topk,train_loso,0.5718157181571816,0.11023536998688642,0.5718157181571816,0.5718157181571816,41
linear1022|xgb_subject_robust|anchor_z_robust|joint_weighted,linear1022,xgb_subject_robust,anchor_z_robust,joint_weighted,train_loso,0.5718157181571816,0.11850007972533678,0.5718157181571816,0.5718157181571816,41
poly1022|xgb_subject_z|anchor_z_robust|split_topk,poly1022,xgb_subject_z,anchor_z_robust,split_topk,train_loso,0.5711382113821138,0.11899929655484535,0.5711382113821138,0.5711382113821138,41
poly1022|xgb_subject_robust|anchor_z_robust|joint_weighted,poly1022,xgb_subject_robust,anchor_z_robust,joint_weighted,train_loso,0.5711382113821137,0.11129304211190985,0.5711382113821137,0.5711382113821137,41
poly1022|xgb_subject_z|resp_all_robust|joint_weighted,poly1022,xgb_subject_z,resp_all_robust,joint_weighted,train_loso,0.5704607046070461,0.11078033419811782,0.5704607046070461,0.5704607046070461,41
truncate1022|logreg_subject_z|anchor_center_robust|split_topk,truncate1022,logreg_subject_z,anchor_center_robust,split_topk,train_loso,0.5697831978319784,0.10742531701289358,0.5697831978319784,0.5697831978319784,41
truncate1022|logreg_subject_z|anchor_z_robust|split_topk,truncate1022,logreg_subject_z,anchor_z_robust,split_topk,train_loso,0.5697831978319784,0.1046971586606675,0.5697831978319784,0.5697831978319784,41
truncate1022|xgb_subject_z|anchor_center_robust|split_topk,truncate1022,xgb_subject_z,anchor_center_robust,split_topk,train_loso,0.5697831978319783,0.11234075684675146,0.5697831978319783,0.5697831978319783,41
truncate1022|xgb_subject_robust|resp_all_robust|joint_weighted,truncate1022,xgb_subject_robust,resp_all_robust,joint_weighted,train_loso,0.5697831978319783,0.10597903924839121,0.5697831978319783,0.5697831978319783,41
poly1022|xgb_subject_z|resp_all_robust|split_topk,poly1022,xgb_subject_z,resp_all_robust,split_topk,train_loso,0.5697831978319782,0.12062113411247612,0.5697831978319782,0.5697831978319782,41
truncate1022|xgb_subject_z|anchor_center_robust|joint_weighted,truncate1022,xgb_subject_z,anchor_center_robust,joint_weighted,train_loso,0.5691056910569107,0.1109585673735575,0.5691056910569107,0.5691056910569107,41
poly1022|xgb_subject_z|anchor_z_robust|joint_weighted,poly1022,xgb_subject_z,anchor_z_robust,joint_weighted,train_loso,0.5691056910569107,0.11803463069778573,0.5691056910569107,0.5691056910569107,41
