split,resample_tag,stage1_id,stage1_label,macro_f1_raw,macro_f1_cal
train_loso,truncate1022,xgb_subject_z,truncate1022|xgb_subject_z,0.8109756097560976,0.8109756097560976
validation,truncate1022,xgb_subject_z,truncate1022|xgb_subject_z,0.8072916666666667,0.8072916666666667
train_loso,truncate1022,xgb_subject_robust,truncate1022|xgb_subject_robust,0.8079268292682926,0.8079268292682926
validation,truncate1022,xgb_subject_robust,truncate1022|xgb_subject_robust,0.8072916666666667,0.8072916666666667
train_loso,truncate1022,xgb_global,truncate1022|xgb_global,0.7652439024390244,0.7652439024390244
validation,truncate1022,xgb_global,truncate1022|xgb_global,0.765625,0.765625
train_loso,truncate1022,logreg_subject_z,truncate1022|logreg_subject_z,0.8079268292682926,0.8079268292682926
validation,truncate1022,logreg_subject_z,truncate1022|logreg_subject_z,0.8020833333333334,0.8020833333333334
train_loso,linear1022,xgb_subject_z,linear1022|xgb_subject_z,0.8170731707317074,0.8170731707317074
validation,linear1022,xgb_subject_z,linear1022|xgb_subject_z,0.8177083333333333,0.8177083333333333
train_loso,linear1022,xgb_subject_robust,linear1022|xgb_subject_robust,0.8185975609756098,0.8185975609756098
validation,linear1022,xgb_subject_robust,linear1022|xgb_subject_robust,0.8125,0.8125
train_loso,linear1022,xgb_global,linear1022|xgb_global,0.771341463414634,0.771341463414634
validation,linear1022,xgb_global,linear1022|xgb_global,0.7708333333333333,0.7708333333333333
train_loso,linear1022,logreg_subject_z,linear1022|logreg_subject_z,0.8064024390243902,0.8064024390243902
validation,linear1022,logreg_subject_z,linear1022|logreg_subject_z,0.8020833333333334,0.8020833333333334
train_loso,poly1022,xgb_subject_z,poly1022|xgb_subject_z,0.8125,0.8125
validation,poly1022,xgb_subject_z,poly1022|xgb_subject_z,0.8072916666666667,0.8072916666666667
train_loso,poly1022,xgb_subject_robust,poly1022|xgb_subject_robust,0.8155487804878049,0.8155487804878049
validation,poly1022,xgb_subject_robust,poly1022|xgb_subject_robust,0.828125,0.828125
train_loso,poly1022,xgb_global,poly1022|xgb_global,0.7667682926829268,0.7667682926829268
validation,poly1022,xgb_global,poly1022|xgb_global,0.78125,0.78125
train_loso,poly1022,logreg_subject_z,poly1022|logreg_subject_z,0.7957317073170731,0.7957317073170731
validation,poly1022,logreg_subject_z,poly1022|logreg_subject_z,0.7916666666666667,0.7916666666666667
