config_id,base_config_id,resample_tag,norm_id,feature_set,model_id,refine_id,split,n_features,macro_f1_mean,accuracy_mean,balanced_accuracy_mean,precision_nopain_mean,recall_nopain_mean
linear1022|subject_z|bvp_eda_core|logreg|base,linear1022|subject_z|bvp_eda_core|logreg|base,linear1022,subject_z,bvp_eda_core,logreg,base,train_loso,99,0.8216463414634146,0.8414634146341463,0.8216463414634146,0.7621951219512195,0.7621951219512195
linear1022|subject_z|bvp_eda_resp_small|logreg|base,linear1022|subject_z|bvp_eda_resp_small|logreg|base,linear1022,subject_z,bvp_eda_resp_small,logreg,base,train_loso,70,0.8201219512195121,0.8401084010840109,0.8201219512195121,0.7601626016260162,0.7601626016260162
truncate1022|subject_z|bvp_eda_core|logreg|base,truncate1022|subject_z|bvp_eda_core|logreg|base,truncate1022,subject_z,bvp_eda_core,logreg,base,train_loso,98,0.8185975609756098,0.8387533875338753,0.8185975609756098,0.758130081300813,0.758130081300813
linear1022|subject_z|bvp_eda_core|rf|base,linear1022|subject_z|bvp_eda_core|rf|base,linear1022,subject_z,bvp_eda_core,rf,base,train_loso,99,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
poly1022|subject_z|bvp_eda_core|xgb|base,poly1022|subject_z|bvp_eda_core|xgb|base,poly1022,subject_z,bvp_eda_core,xgb,base,train_loso,99,0.8155487804878049,0.8360433604336044,0.8155487804878049,0.7540650406504065,0.7540650406504065
truncate1022|subject_z|bvp_eda_resp_small|logreg|base,truncate1022|subject_z|bvp_eda_resp_small|logreg|base,truncate1022,subject_z,bvp_eda_resp_small,logreg,base,train_loso,70,0.8140243902439024,0.8346883468834688,0.8140243902439024,0.7520325203252033,0.7520325203252033
linear1022|subject_robust|bvp_eda_core|logreg|base,linear1022|subject_robust|bvp_eda_core|logreg|base,linear1022,subject_robust,bvp_eda_core,logreg,base,train_loso,99,0.8140243902439024,0.8346883468834688,0.8140243902439024,0.7520325203252033,0.7520325203252033
linear1022|subject_robust|bvp_eda_resp_small|logreg|base,linear1022|subject_robust|bvp_eda_resp_small|logreg|base,linear1022,subject_robust,bvp_eda_resp_small,logreg,base,train_loso,70,0.8140243902439024,0.8346883468834688,0.8140243902439024,0.7520325203252033,0.7520325203252033
poly1022|subject_robust|bvp_eda_core|logreg|base,poly1022|subject_robust|bvp_eda_core|logreg|base,poly1022,subject_robust,bvp_eda_core,logreg,base,train_loso,99,0.8140243902439024,0.8346883468834688,0.8140243902439024,0.7520325203252033,0.7520325203252033
truncate1022|subject_robust|bvp_eda_core|logreg|base,truncate1022|subject_robust|bvp_eda_core|logreg|base,truncate1022,subject_robust,bvp_eda_core,logreg,base,train_loso,98,0.8125,0.8333333333333334,0.8125,0.75,0.75
linear1022|subject_z|bvp_eda_resp_small|rf|base,linear1022|subject_z|bvp_eda_resp_small|rf|base,linear1022,subject_z,bvp_eda_resp_small,rf,base,train_loso,70,0.8125,0.8333333333333334,0.8125,0.75,0.75
poly1022|subject_z|bvp_eda_resp_small|rf|base,poly1022|subject_z|bvp_eda_resp_small|rf|base,poly1022,subject_z,bvp_eda_resp_small,rf,base,train_loso,70,0.8109756097560976,0.8319783197831978,0.8109756097560976,0.7479674796747967,0.7479674796747967
poly1022|subject_robust|bvp_eda_resp_small|logreg|base,poly1022|subject_robust|bvp_eda_resp_small|logreg|base,poly1022,subject_robust,bvp_eda_resp_small,logreg,base,train_loso,70,0.8109756097560976,0.8319783197831978,0.8109756097560976,0.7479674796747967,0.7479674796747967
poly1022|subject_z|bvp_eda_core|rf|base,poly1022|subject_z|bvp_eda_core|rf|base,poly1022,subject_z,bvp_eda_core,rf,base,train_loso,99,0.8094512195121951,0.8306233062330624,0.8094512195121951,0.7459349593495935,0.7459349593495935
truncate1022|subject_z|bvp_eda_core|xgb|base,truncate1022|subject_z|bvp_eda_core|xgb|base,truncate1022,subject_z,bvp_eda_core,xgb,base,train_loso,98,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
truncate1022|subject_z|bvp_eda_core|rf|base,truncate1022|subject_z|bvp_eda_core|rf|base,truncate1022,subject_z,bvp_eda_core,rf,base,train_loso,98,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
truncate1022|subject_z|bvp_eda_resp_small|rf|base,truncate1022|subject_z|bvp_eda_resp_small|rf|base,truncate1022,subject_z,bvp_eda_resp_small,rf,base,train_loso,70,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
truncate1022|subject_robust|bvp_eda_core|rf|base,truncate1022|subject_robust|bvp_eda_core|rf|base,truncate1022,subject_robust,bvp_eda_core,rf,base,train_loso,98,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
truncate1022|subject_robust|bvp_eda_resp_small|logreg|base,truncate1022|subject_robust|bvp_eda_resp_small|logreg|base,truncate1022,subject_robust,bvp_eda_resp_small,logreg,base,train_loso,70,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
poly1022|subject_z|bvp_eda_core|logreg|base,poly1022|subject_z|bvp_eda_core|logreg|base,poly1022,subject_z,bvp_eda_core,logreg,base,train_loso,99,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
poly1022|subject_robust|bvp_eda_core|rf|base,poly1022|subject_robust|bvp_eda_core|rf|base,poly1022,subject_robust,bvp_eda_core,rf,base,train_loso,99,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
linear1022|subject_z|bvp_eda_core|xgb|base,linear1022|subject_z|bvp_eda_core|xgb|base,linear1022,subject_z,bvp_eda_core,xgb,base,train_loso,99,0.8064024390243902,0.8279132791327913,0.8064024390243902,0.741869918699187,0.741869918699187
linear1022|subject_robust|bvp_eda_core|rf|base,linear1022|subject_robust|bvp_eda_core|rf|base,linear1022,subject_robust,bvp_eda_core,rf,base,train_loso,99,0.8064024390243902,0.8279132791327913,0.8064024390243902,0.741869918699187,0.741869918699187
truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,base,train_loso,98,0.8048780487804879,0.8265582655826558,0.8048780487804879,0.7398373983739838,0.7398373983739838
linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,base,train_loso,70,0.8048780487804879,0.8265582655826558,0.8048780487804879,0.7398373983739838,0.7398373983739838
linear1022|subject_robust|bvp_eda_resp_small|xgb|base,linear1022|subject_robust|bvp_eda_resp_small|xgb|base,linear1022,subject_robust,bvp_eda_resp_small,xgb,base,train_loso,70,0.8048780487804879,0.8265582655826558,0.8048780487804879,0.7398373983739838,0.7398373983739838
