config_id,base_config_id,resample_tag,norm_id,feature_set,model_id,refine_id,split,n_features,macro_f1_mean,accuracy_mean,balanced_accuracy_mean,precision_nopain_mean,recall_nopain_mean
truncate1022|subject_z|bvp_eda_core|xgb|base|anchor_center_l05,truncate1022|subject_z|bvp_eda_core|xgb|base,truncate1022,subject_z,bvp_eda_core,xgb,anchor_center_l05,train_loso,98,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
truncate1022|subject_z|bvp_eda_core|xgb|base|anchor_z_l10,truncate1022|subject_z|bvp_eda_core|xgb|base,truncate1022,subject_z,bvp_eda_core,xgb,anchor_z_l10,train_loso,98,0.8170731707317074,0.8373983739837398,0.8170731707317074,0.7560975609756098,0.7560975609756098
truncate1022|subject_z|bvp_eda_core|xgb|base|anchor_z_l05,truncate1022|subject_z|bvp_eda_core|xgb|base,truncate1022,subject_z,bvp_eda_core,xgb,anchor_z_l05,train_loso,98,0.8140243902439024,0.8346883468834688,0.8140243902439024,0.7520325203252033,0.7520325203252033
truncate1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l05,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,anchor_center_l05,train_loso,98,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
truncate1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l10,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,anchor_z_l10,train_loso,98,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
linear1022|subject_z|bvp_eda_resp_small|xgb|base|anchor_center_l05,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,anchor_center_l05,train_loso,70,0.8079268292682926,0.8292682926829268,0.8079268292682926,0.7439024390243902,0.7439024390243902
truncate1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l05,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,anchor_z_l05,train_loso,98,0.8064024390243902,0.8279132791327913,0.8064024390243902,0.741869918699187,0.741869918699187
linear1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l05,linear1022|subject_robust|bvp_eda_core|xgb|base,linear1022,subject_robust,bvp_eda_core,xgb,anchor_z_l05,train_loso,99,0.8064024390243902,0.8279132791327913,0.8064024390243902,0.741869918699187,0.741869918699187
linear1022|subject_z|bvp_eda_resp_small|xgb|base|anchor_z_l05,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,anchor_z_l05,train_loso,70,0.8064024390243902,0.8279132791327913,0.8064024390243902,0.741869918699187,0.741869918699187
linear1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l10,linear1022|subject_robust|bvp_eda_core|xgb|base,linear1022,subject_robust,bvp_eda_core,xgb,anchor_z_l10,train_loso,99,0.8033536585365854,0.8252032520325203,0.8033536585365854,0.7378048780487805,0.7378048780487805
poly1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l05,poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022,subject_robust,bvp_eda_core,xgb,anchor_z_l05,train_loso,99,0.8018292682926829,0.8238482384823849,0.8018292682926829,0.7357723577235772,0.7357723577235772
truncate1022|subject_robust|bvp_eda_resp_small|xgb|base|anchor_z_l10,truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022,subject_robust,bvp_eda_resp_small,xgb,anchor_z_l10,train_loso,70,0.8018292682926829,0.8238482384823849,0.8018292682926829,0.7357723577235772,0.7357723577235772
truncate1022|subject_z|bvp_eda_core|xgb|base|anchor_center_l10,truncate1022|subject_z|bvp_eda_core|xgb|base,truncate1022,subject_z,bvp_eda_core,xgb,anchor_center_l10,train_loso,98,0.8003048780487805,0.8224932249322493,0.8003048780487805,0.733739837398374,0.733739837398374
truncate1022|subject_robust|bvp_eda_resp_small|xgb|base|anchor_center_l05,truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022,subject_robust,bvp_eda_resp_small,xgb,anchor_center_l05,train_loso,70,0.8003048780487805,0.8224932249322493,0.8003048780487805,0.733739837398374,0.733739837398374
linear1022|subject_z|bvp_eda_resp_small|xgb|base|anchor_z_l10,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,anchor_z_l10,train_loso,70,0.8003048780487805,0.8224932249322493,0.8003048780487805,0.733739837398374,0.733739837398374
poly1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l10,poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022,subject_robust,bvp_eda_core,xgb,anchor_z_l10,train_loso,99,0.7987804878048781,0.8211382113821138,0.7987804878048781,0.7317073170731707,0.7317073170731707
linear1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l05,linear1022|subject_robust|bvp_eda_core|xgb|base,linear1022,subject_robust,bvp_eda_core,xgb,anchor_center_l05,train_loso,99,0.7987804878048781,0.8211382113821138,0.7987804878048781,0.7317073170731707,0.7317073170731707
truncate1022|subject_robust|bvp_eda_resp_small|xgb|base|anchor_z_l05,truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022,subject_robust,bvp_eda_resp_small,xgb,anchor_z_l05,train_loso,70,0.7987804878048781,0.8211382113821138,0.7987804878048781,0.7317073170731707,0.7317073170731707
poly1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l05,poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022,subject_robust,bvp_eda_core,xgb,anchor_center_l05,train_loso,99,0.7972560975609756,0.8197831978319783,0.7972560975609756,0.7296747967479674,0.7296747967479674
linear1022|subject_z|bvp_eda_resp_small|xgb|base|anchor_center_l10,linear1022|subject_z|bvp_eda_resp_small|xgb|base,linear1022,subject_z,bvp_eda_resp_small,xgb,anchor_center_l10,train_loso,70,0.7972560975609756,0.8197831978319783,0.7972560975609756,0.7296747967479674,0.7296747967479674
poly1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l10,poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022,subject_robust,bvp_eda_core,xgb,anchor_center_l10,train_loso,99,0.7957317073170731,0.8184281842818428,0.7957317073170731,0.7276422764227642,0.7276422764227642
truncate1022|subject_robust|bvp_eda_resp_small|xgb|base|anchor_center_l10,truncate1022|subject_robust|bvp_eda_resp_small|xgb|base,truncate1022,subject_robust,bvp_eda_resp_small,xgb,anchor_center_l10,train_loso,70,0.7957317073170731,0.8184281842818428,0.7957317073170731,0.7276422764227642,0.7276422764227642
truncate1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l10,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,anchor_center_l10,train_loso,98,0.7926829268292683,0.8157181571815718,0.7926829268292683,0.7235772357723578,0.7235772357723578
linear1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l10,linear1022|subject_robust|bvp_eda_core|xgb|base,linear1022,subject_robust,bvp_eda_core,xgb,anchor_center_l10,train_loso,99,0.7926829268292683,0.8157181571815718,0.7926829268292683,0.7235772357723578,0.7235772357723578
truncate1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l05,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,anchor_center_l05,validation,98,0.8333333333333333,0.8518518518518519,0.8333333333333333,0.7777777777777778,0.7777777777777778
truncate1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l05,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,anchor_z_l05,validation,98,0.828125,0.8472222222222222,0.828125,0.7708333333333334,0.7708333333333334
poly1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l05,poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022,subject_robust,bvp_eda_core,xgb,anchor_z_l05,validation,99,0.828125,0.8472222222222222,0.828125,0.7708333333333334,0.7708333333333334
truncate1022|subject_robust|bvp_eda_core|xgb|base|anchor_z_l10,truncate1022|subject_robust|bvp_eda_core|xgb|base,truncate1022,subject_robust,bvp_eda_core,xgb,anchor_z_l10,validation,98,0.8229166666666666,0.8425925925925926,0.8229166666666666,0.7638888888888888,0.7638888888888888
poly1022|subject_robust|bvp_eda_core|xgb|base|anchor_center_l05,poly1022|subject_robust|bvp_eda_core|xgb|base,poly1022,subject_robust,bvp_eda_core,xgb,anchor_center_l05,validation,99,0.8229166666666666,0.8425925925925926,0.8229166666666666,0.7638888888888888,0.7638888888888888
