feature,F,p,n
Bvp_rms,24.176382166056452,1.505426830929367e-09,123
Bvp_mean,22.739563125439563,4.229427810192555e-09,123
Bvp_mean_abs,22.739563125439563,4.229427810192555e-09,123
Bvp_energy,16.645351501484058,4.1679817337708103e-07,123
Eda_bp_higher,7.538129511061742,0.0008243911294857207,123
SpO2_hjorth_complexity,7.089580505795972,0.001241021339368177,120
SpO2_hjorth_mobility,6.977280051841819,0.0013718805181382279,120
Eda_kurtosis,6.336371205048881,0.0024208751043793106,123
Eda_spec_bandwidth,5.702048420048157,0.004308642153109598,123
Eda_spec_spread,5.702048420048157,0.004308642153109598,123
Eda_dfa_alpha,5.411605824599877,0.0056206476847084335,123
Eda_skew,4.418477602581829,0.014074974146883128,123
Eda_zcr,4.319809786892291,0.015430853172253742,123
Eda_mcr,4.319809786892291,0.015430853172253742,123
Eda_hjorth_mobility,3.9737959519409745,0.021327884251348673,123
Eda_spec_entropy,3.7043359595890877,0.02747485685455554,123
Eda_peak_rel_power,3.0846040787014752,0.04939376346388982,123
Bvp_p90,3.0686490802319244,0.05014911904413815,123
Bvp_kurtosis,2.8370994942234904,0.06253270456233626,123
Eda_hjorth_complexity,2.5967117040997874,0.07870165071931928,123
Eda_mean_freq,2.3636253950371815,0.09844502490108598,123
Eda_spec_centroid,2.3636253950371815,0.09844502490108598,123
Eda_bp_higher_rel,2.1949224281327995,0.1158188354386332,123
Eda_max,2.0403268009692623,0.1344715509467311,123
Eda_p90,2.0229087020582392,0.13675627032593518,123
Eda_energy,1.942800228012178,0.14778316200248198,123
Bvp_iqr,1.9102332022898951,0.15252064335587334,123
Bvp_peak_power,1.9009283894581726,0.1539023552924537,123
SpO2_skew,1.866637512889406,0.1591051628897611,123
Eda_rms,1.827282808691702,0.16529716033912017,123
Eda_mean,1.8204338093951422,0.16639954160994933,123
Eda_mean_abs,1.8204338093951422,0.16639954160994933,123
Bvp_mad,1.723735818106869,0.18278594402195122,123
Bvp_std,1.5581840328619865,0.21474696942368407,123
Bvp_total_power,1.5464162454155541,0.21722451757671463,123
Bvp_peak_rel_power,1.532165778412214,0.22026370331837097,123
Eda_p10,1.4961905321365292,0.2281298975193292,123
