feature_name,signal,category,description
Bvp_approx_entropy,Bvp,entropy,Approximate entropy (m=2)
Bvp_bp_hf,Bvp,freq,Band power in hf band
Bvp_bp_hf_rel,Bvp,freq,Relative band power in hf band
Bvp_bp_lf,Bvp,freq,Band power in lf band
Bvp_bp_lf_rel,Bvp,freq,Relative band power in lf band
Bvp_bp_vhf,Bvp,freq,Band power in vhf band
Bvp_bp_vhf_rel,Bvp,freq,Relative band power in vhf band
Bvp_bp_vlf,Bvp,freq,Band power in vlf band
Bvp_bp_vlf_rel,Bvp,freq,Relative band power in vlf band
Bvp_dfa_alpha,Bvp,fractal,Detrended fluctuation analysis alpha
Bvp_dom_freq_cardiac,Bvp,freq,Dominant freq in BVP 0.4-4 Hz
Bvp_energy,Bvp,time,Sum of squared amplitudes
Bvp_hjorth_activity,Bvp,time,Variance
Bvp_hjorth_complexity,Bvp,time,Mobility(dx)/Mobility(x)
Bvp_hjorth_mobility,Bvp,time,Sqrt(var(dx)/var(x))
Bvp_iqr,Bvp,time,Interquartile range
Bvp_kurtosis,Bvp,time,Excess kurtosis
Bvp_lf_hf_ratio,Bvp,freq,LF / HF band power ratio (BVP)
Bvp_mad,Bvp,time,Median absolute deviation
Bvp_max,Bvp,time,Maximum
Bvp_mcr,Bvp,time,Mean-crossing rate
Bvp_mean,Bvp,time,Mean
Bvp_mean_abs,Bvp,time,Mean absolute value
Bvp_mean_freq,Bvp,freq,Mean frequency (=centroid)
Bvp_min,Bvp,time,Minimum
Bvp_p10,Bvp,time,10th percentile
Bvp_p90,Bvp,time,90th percentile
Bvp_peak_freq,Bvp,freq,Frequency of PSD maximum
Bvp_peak_power,Bvp,freq,PSD at peak frequency
Bvp_peak_rel_power,Bvp,freq,Peak power / total power
Bvp_perm_entropy,Bvp,entropy,Permutation entropy (m=3)
Bvp_petrosian_fd,Bvp,fractal,Petrosian fractal dimension
Bvp_rms,Bvp,time,Root mean square
Bvp_samp_entropy,Bvp,entropy,"Sample entropy (m=2, r=0.2*std)"
Bvp_skew,Bvp,time,Fisher skewness
Bvp_spec_bandwidth,Bvp,freq,RMS bandwidth (same as spread)
Bvp_spec_centroid,Bvp,freq,Power-weighted mean frequency
Bvp_spec_edge_95,Bvp,freq,Frequency below which 95% of power lies
Bvp_spec_entropy,Bvp,freq,Shannon entropy of normalised PSD
Bvp_spec_flatness,Bvp,freq,Geometric/arithmetic mean ratio of PSD
Bvp_spec_spread,Bvp,freq,Power-weighted std around centroid
Bvp_std,Bvp,time,Standard deviation
Bvp_total_power,Bvp,freq,Integrated PSD across all freqs
Bvp_zcr,Bvp,time,Zero-crossing rate (mean-subtracted)
Eda_approx_entropy,Eda,entropy,Approximate entropy (m=2)
Eda_bp_higher,Eda,freq,Band power in higher band
Eda_bp_higher_rel,Eda,freq,Relative band power in higher band
Eda_bp_phasic,Eda,freq,Band power in phasic band
Eda_bp_phasic_rel,Eda,freq,Relative band power in phasic band
Eda_bp_tonic,Eda,freq,Band power in tonic band
Eda_bp_tonic_rel,Eda,freq,Relative band power in tonic band
Eda_dfa_alpha,Eda,fractal,Detrended fluctuation analysis alpha
Eda_energy,Eda,time,Sum of squared amplitudes
Eda_hjorth_activity,Eda,time,Variance
Eda_hjorth_complexity,Eda,time,Mobility(dx)/Mobility(x)
Eda_hjorth_mobility,Eda,time,Sqrt(var(dx)/var(x))
Eda_iqr,Eda,time,Interquartile range
Eda_kurtosis,Eda,time,Excess kurtosis
Eda_mad,Eda,time,Median absolute deviation
Eda_max,Eda,time,Maximum
Eda_mcr,Eda,time,Mean-crossing rate
Eda_mean,Eda,time,Mean
Eda_mean_abs,Eda,time,Mean absolute value
Eda_mean_freq,Eda,freq,Mean frequency (=centroid)
Eda_min,Eda,time,Minimum
Eda_p10,Eda,time,10th percentile
Eda_p90,Eda,time,90th percentile
Eda_peak_freq,Eda,freq,Frequency of PSD maximum
