split,subject,class,segment_id,onset_EDA_s,onset_BVP_s,onset_RESP_s,onset_consensus_s,onset_spread_s
train,1,PainArm,1_PainArm_1,2.0,2.44,2.35,2.35,0.43999999999999995
train,1,PainHand,1_PainHand_1,,,2.28,2.28,0.0
train,1,PainArm,1_PainArm_2,,,2.3,2.3,0.0
train,1,PainHand,1_PainHand_2,,,2.13,2.13,0.0
train,1,PainArm,1_PainArm_3,,,2.07,2.07,0.0
train,1,PainHand,1_PainHand_3,,,2.14,2.14,0.0
train,1,PainArm,1_PainArm_4,,,2.58,2.58,0.0
train,1,PainHand,1_PainHand_4,,,2.88,2.88,0.0
train,1,PainHand,1_PainHand_5,,,2.01,2.01,0.0
train,1,PainArm,1_PainArm_6,,,2.48,2.48,0.0
train,1,PainHand,1_PainHand_6,,,2.22,2.22,0.0
train,1,PainArm,1_PainArm_7,,,2.33,2.33,0.0
train,1,PainHand,1_PainHand_7,,,3.17,3.17,0.0
train,1,PainArm,1_PainArm_8,,,,,
train,1,PainHand,1_PainHand_8,,,2.45,2.45,0.0
train,1,PainArm,1_PainArm_9,,,2.09,2.09,0.0
train,1,PainHand,1_PainHand_9,,,2.3,2.3,0.0
train,1,PainArm,1_PainArm_10,,,2.22,2.22,0.0
train,1,PainHand,1_PainHand_10,,,2.68,2.68,0.0
train,1,PainArm,1_PainArm_11,,,2.46,2.46,0.0
train,1,PainHand,1_PainHand_11,,,2.59,2.59,0.0
train,1,PainArm,1_PainArm_12,,,3.08,3.08,0.0
train,1,PainHand,1_PainHand_12,,,2.56,2.56,0.0
train,2,PainArm,2_PainArm_1,,2.08,2.81,2.4450000000000003,0.73
train,2,PainHand,2_PainHand_1,,2.21,2.5,2.355,0.29000000000000004
train,2,PainArm,2_PainArm_2,,2.76,2.78,2.7699999999999996,0.020000000000000018
train,2,PainHand,2_PainHand_2,,2.46,,2.46,0.0
train,2,PainArm,2_PainArm_3,,1.96,2.83,2.395,0.8700000000000001
train,2,PainHand,2_PainHand_3,,2.71,2.41,2.56,0.2999999999999998
train,2,PainArm,2_PainArm_4,,2.94,2.04,2.49,0.8999999999999999
train,2,PainHand,2_PainHand_4,,2.59,2.43,2.51,0.1599999999999997
train,2,PainArm,2_PainArm_5,,2.64,2.44,2.54,0.20000000000000018
train,2,PainHand,2_PainHand_5,,3.35,2.2,2.7750000000000004,1.15
train,2,PainArm,2_PainArm_6,,2.55,2.28,2.415,0.27
train,2,PainHand,2_PainHand_6,,2.8,2.23,2.5149999999999997,0.5699999999999998
train,2,PainArm,2_PainArm_7,,2.13,2.22,2.175,0.0900000000000003
train,2,PainHand,2_PainHand_7,,3.55,2.49,3.02,1.0599999999999996
train,2,PainArm,2_PainArm_8,,,2.93,2.93,0.0
train,2,PainHand,2_PainHand_8,2.07,2.5,3.16,2.5,1.0900000000000003
train,2,PainArm,2_PainArm_9,,2.77,2.0,2.385,0.77
train,2,PainHand,2_PainHand_9,,3.12,2.6,2.8600000000000003,0.52
train,2,PainArm,2_PainArm_10,3.33,,2.5,2.915,0.8300000000000001
train,2,PainHand,2_PainHand_10,,2.93,2.7,2.8150000000000004,0.22999999999999998
train,2,PainArm,2_PainArm_11,,2.1,3.17,2.635,1.0699999999999998
train,2,PainHand,2_PainHand_11,,,3.01,3.01,0.0
train,2,PainArm,2_PainArm_12,,2.88,2.05,2.465,0.8300000000000001
train,2,PainHand,2_PainHand_12,,2.89,2.86,2.875,0.03000000000000025
train,4,PainArm,4_PainArm_1,,1.55,2.78,2.165,1.2299999999999998
train,4,PainHand,4_PainHand_1,2.21,3.46,2.71,2.71,1.25
train,4,PainArm,4_PainArm_2,,2.19,3.21,2.7,1.02
train,4,PainArm,4_PainArm_3,,3.03,3.15,3.09,0.1200000000000001
train,4,PainHand,4_PainHand_3,,1.9,2.17,2.035,0.27
train,4,PainHand,4_PainHand_4,,1.88,3.24,2.56,1.3600000000000003
train,4,PainArm,4_PainArm_5,,3.87,3.13,3.5,0.7400000000000002
train,4,PainHand,4_PainHand_5,,,2.54,2.54,0.0
train,4,PainArm,4_PainArm_6,,,2.02,2.02,0.0
train,4,PainHand,4_PainHand_6,,,2.06,2.06,0.0
train,4,PainArm,4_PainArm_7,,,2.36,2.36,0.0
train,4,PainHand,4_PainHand_7,,2.03,3.07,2.55,1.04
train,4,PainArm,4_PainArm_8,,2.86,2.45,2.6550000000000002,0.4099999999999997
train,4,PainHand,4_PainHand_8,,1.67,2.29,1.98,0.6200000000000001
train,4,PainArm,4_PainArm_9,,3.08,2.33,2.705,0.75
train,4,PainHand,4_PainHand_9,,3.44,2.14,2.79,1.2999999999999998
train,4,PainArm,4_PainArm_10,2.13,2.65,2.05,2.13,0.6000000000000001
train,4,PainHand,4_PainHand_10,,1.58,2.51,2.045,0.9299999999999997
train,4,PainArm,4_PainArm_11,,2.29,2.3,2.295,0.009999999999999787
train,4,PainHand,4_PainHand_11,,1.36,2.95,2.1550000000000002,1.59
train,4,PainArm,4_PainArm_12,2.02,,2.2,2.1100000000000003,0.18000000000000016
train,4,PainHand,4_PainHand_12,,1.87,3.34,2.605,1.4699999999999998
train,5,PainArm,5_PainArm_1,,3.01,2.16,2.585,0.8499999999999996
train,5,PainHand,5_PainHand_1,,2.57,2.19,2.38,0.3799999999999999
train,5,PainArm,5_PainArm_2,,,2.25,2.25,0.0
train,5,PainHand,5_PainHand_2,,,2.02,2.02,0.0
train,5,PainArm,5_PainArm_3,,2.37,2.23,2.3,0.14000000000000012
train,5,PainHand,5_PainHand_3,,,2.07,2.07,0.0
train,5,PainArm,5_PainArm_4,,,2.51,2.51,0.0
train,5,PainHand,5_PainHand_4,,,2.2,2.2,0.0
train,5,PainArm,5_PainArm_5,,,2.07,2.07,0.0
train,5,PainHand,5_PainHand_5,,,2.15,2.15,0.0
train,5,PainArm,5_PainArm_6,,,2.09,2.09,0.0
train,5,PainHand,5_PainHand_6,,,2.01,2.01,0.0
train,5,PainArm,5_PainArm_7,,,2.38,2.38,0.0
train,5,PainHand,5_PainHand_7,,,2.09,2.09,0.0
train,5,PainArm,5_PainArm_8,,2.84,2.18,2.51,0.6599999999999997
train,5,PainHand,5_PainHand_8,,2.41,2.36,2.385,0.050000000000000266
train,5,PainArm,5_PainArm_9,,3.86,2.03,2.945,1.83
train,5,PainHand,5_PainHand_9,,3.23,2.83,3.0300000000000002,0.3999999999999999
train,5,PainArm,5_PainArm_10,,,2.2,2.2,0.0
train,5,PainHand,5_PainHand_10,,,2.98,2.98,0.0
train,5,PainArm,5_PainArm_11,,2.66,2.28,2.4699999999999998,0.38000000000000034
train,5,PainHand,5_PainHand_11,,,2.03,2.03,0.0
train,5,PainArm,5_PainArm_12,,,3.2,3.2,0.0
train,5,PainHand,5_PainHand_12,,2.31,2.2,2.255,0.10999999999999988
train,6,PainArm,6_PainArm_1,3.21,,2.47,2.84,0.7399999999999998
train,6,PainHand,6_PainHand_1,,,2.36,2.36,0.0
train,6,PainArm,6_PainArm_2,,3.36,2.1,2.73,1.2599999999999998
train,6,PainArm,6_PainArm_3,,2.1,2.56,2.33,0.45999999999999996
train,6,PainHand,6_PainHand_3,2.23,2.87,3.75,2.87,1.52
