fold,held_out_subject,n_test,macro_f1,balanced_acc
0,1,24,0.34375,0.4166666666666667
1,2,24,0.4337568058076225,0.4583333333333333
2,4,24,0.3333333333333333,0.5
3,5,24,0.4197802197802198,0.5416666666666666
4,6,24,0.3333333333333333,0.5
5,8,24,0.3696969696969697,0.45833333333333337
6,11,24,0.36507936507936506,0.375
7,12,24,0.4666666666666667,0.5
8,13,24,0.2727272727272727,0.375
9,15,24,0.4337568058076225,0.4583333333333333
10,16,24,0.3333333333333333,0.5
11,18,24,0.34664246823956446,0.375
12,21,24,0.3333333333333333,0.5
13,22,24,0.4857142857142857,0.5
14,24,24,0.5408695652173914,0.5416666666666667
15,25,24,0.3739130434782609,0.375
16,27,24,0.3333333333333333,0.5
17,28,24,0.34664246823956446,0.375
18,29,24,0.3142857142857143,0.4583333333333333
19,30,24,0.4079696394686907,0.4583333333333333
20,34,24,0.3333333333333333,0.5
21,36,24,0.4,0.4166666666666667
22,37,24,0.32867132867132864,0.33333333333333337
23,41,24,0.4,0.4166666666666667
24,42,24,0.3333333333333333,0.5
25,43,24,0.29411764705882354,0.4166666666666667
26,44,24,0.3333333333333333,0.5
27,45,24,0.5343915343915344,0.5416666666666666
28,46,24,0.3739130434782609,0.375
29,47,24,0.4666666666666667,0.5416666666666666
30,48,24,0.4079696394686907,0.4583333333333333
31,49,24,0.3696969696969697,0.45833333333333337
32,52,24,0.4857142857142857,0.5
33,53,24,0.4,0.4166666666666667
34,55,24,0.4857142857142857,0.5
35,56,24,0.6444444444444444,0.6666666666666666
36,57,24,0.4857142857142857,0.5
37,58,24,0.3333333333333333,0.5
38,59,24,0.31688804554079697,0.375
39,60,24,0.3333333333333333,0.5
40,63,24,0.25,0.3333333333333333
