subject,kmeans_k2,agglo_k2,kmeans_k3,agglo_k3,kmeans_k4,agglo_k4,kmeans_k5,agglo_k5
1,0,0,2,2,1,2,4,2
2,1,1,2,0,0,3,2,3
4,0,0,2,1,1,0,4,4
5,0,0,2,2,3,2,4,2
6,0,0,2,2,3,2,4,2
8,1,1,1,0,2,1,0,0
11,1,0,1,1,2,0,0,4
12,1,1,1,0,2,1,3,0
13,1,1,1,0,2,1,0,0
15,1,1,1,0,2,1,3,0
16,0,1,1,0,1,1,0,0
18,0,0,2,2,1,2,4,2
21,1,1,1,0,2,1,0,0
22,1,1,1,0,2,1,0,0
24,1,1,1,0,2,1,0,0
25,1,1,1,0,2,1,3,0
27,0,0,0,1,1,0,1,1
28,0,0,0,1,1,0,1,4
29,0,0,1,1,1,0,0,4
30,1,0,1,1,2,0,0,4
34,0,0,0,1,1,0,1,4
36,0,1,1,0,1,1,0,0
37,0,0,0,1,1,0,1,4
41,1,1,1,0,2,1,0,0
42,1,1,1,0,2,1,0,0
43,1,1,1,0,2,1,0,0
44,0,0,0,1,1,0,1,4
45,1,1,1,0,2,1,0,0
46,0,0,0,1,1,0,1,4
47,0,0,0,1,1,0,1,4
48,1,1,1,0,2,1,0,0
49,1,1,1,0,2,1,0,0
52,0,0,0,1,1,0,1,4
53,1,0,1,1,2,0,0,4
55,0,0,0,1,1,0,1,1
56,0,0,0,1,1,0,1,1
57,0,0,0,1,1,0,1,1
58,1,1,1,0,2,1,0,0
59,1,0,1,1,2,0,0,4
60,0,0,0,1,1,0,1,4
63,0,0,0,1,1,0,1,1
