feature,channel
BVP_hr_mean,bvp
BVP_peak_count,bvp
BVP_rr_mean,bvp
BVP_sdnn,bvp
BVP_rmssd,bvp
BVP_pnn20,bvp
BVP_peak_amp_mean,bvp
BVP_peak_amp_std,bvp
BVP_risetime_mean,bvp
BVP_env_std,bvp
EDA_tonic_mean,eda
EDA_tonic_slope,eda
EDA_scr_count,eda
EDA_scr_amp_mean,eda
EDA_scr_rate,eda
EDA_range,eda
RESP_rate,resp
RESP_interval_std,resp
RESP_amp_mean,resp
RESP_amp_std,resp
RESP_ie_ratio,resp
SPO2_mean,spo2
SPO2_std,spo2
SPO2_min,spo2
SPO2_dip_magnitude,spo2
SPO2_dip_count,spo2
SPO2_slope,spo2
BVP_RESP_envcorr,cross
Bvp_approx_entropy,bvp
Bvp_bp_vhf,bvp
Bvp_bp_vhf_rel,bvp
Bvp_dfa_alpha,bvp
Bvp_dom_freq_cardiac,bvp
Bvp_energy,bvp
Bvp_hjorth_activity,bvp
Bvp_hjorth_complexity,bvp
Bvp_hjorth_mobility,bvp
Bvp_iqr,bvp
Bvp_kurtosis,bvp
Bvp_mad,bvp
Bvp_max,bvp
Bvp_mcr,bvp
Bvp_mean,bvp
Bvp_mean_abs,bvp
Bvp_mean_freq,bvp
Bvp_min,bvp
Bvp_p10,bvp
Bvp_p90,bvp
Bvp_peak_freq,bvp
Bvp_peak_power,bvp
Bvp_peak_rel_power,bvp
Bvp_perm_entropy,bvp
Bvp_petrosian_fd,bvp
Bvp_rms,bvp
Bvp_samp_entropy,bvp
Bvp_skew,bvp
Bvp_spec_bandwidth,bvp
Bvp_spec_centroid,bvp
Bvp_spec_edge_95,bvp
Bvp_spec_entropy,bvp
Bvp_spec_flatness,bvp
Bvp_spec_spread,bvp
Bvp_std,bvp
Bvp_total_power,bvp
Bvp_zcr,bvp
Eda_approx_entropy,eda
Eda_bp_higher,eda
Eda_bp_higher_rel,eda
Eda_dfa_alpha,eda
Eda_energy,eda
Eda_hjorth_activity,eda
Eda_hjorth_complexity,eda
Eda_hjorth_mobility,eda
Eda_iqr,eda
Eda_kurtosis,eda
Eda_mad,eda
Eda_max,eda
Eda_mcr,eda
Eda_mean,eda
Eda_mean_abs,eda
Eda_mean_freq,eda
Eda_min,eda
Eda_p10,eda
Eda_p90,eda
Eda_peak_freq,eda
Eda_peak_power,eda
Eda_peak_rel_power,eda
Eda_perm_entropy,eda
Eda_petrosian_fd,eda
Eda_rms,eda
Eda_samp_entropy,eda
Eda_skew,eda
Eda_spec_bandwidth,eda
Eda_spec_centroid,eda
Eda_spec_entropy,eda
Eda_spec_flatness,eda
Eda_spec_spread,eda
Eda_std,eda
Eda_total_power,eda
Eda_zcr,eda
Resp_approx_entropy,resp
Resp_dfa_alpha,resp
Resp_energy,resp
Resp_hjorth_activity,resp
Resp_hjorth_complexity,resp
Resp_hjorth_mobility,resp
Resp_iqr,resp
Resp_kurtosis,resp
Resp_mad,resp
Resp_max,resp
Resp_mcr,resp
Resp_mean,resp
Resp_mean_abs,resp
Resp_mean_freq,resp
Resp_min,resp
Resp_p10,resp
Resp_p90,resp
Resp_peak_freq,resp
Resp_peak_power,resp
Resp_peak_rel_power,resp
Resp_perm_entropy,resp
Resp_petrosian_fd,resp
Resp_rms,resp
Resp_samp_entropy,resp
Resp_skew,resp
Resp_spec_bandwidth,resp
Resp_spec_centroid,resp
Resp_spec_edge_95,resp
Resp_spec_entropy,resp
Resp_spec_flatness,resp
Resp_spec_spread,resp
Resp_std,resp
Resp_total_power,resp
Resp_zcr,resp
SpO2_energy,spo2
SpO2_hjorth_activity,spo2
SpO2_iqr,spo2
SpO2_kurtosis,spo2
SpO2_mad,spo2
SpO2_max,spo2
SpO2_mcr,spo2
SpO2_mean,spo2
SpO2_mean_abs,spo2
SpO2_min,spo2
SpO2_p10,spo2
SpO2_p90,spo2
SpO2_peak_freq,spo2
SpO2_peak_power,spo2
SpO2_peak_rel_power,spo2
SpO2_perm_entropy,spo2
SpO2_petrosian_fd,spo2
SpO2_rms,spo2
SpO2_samp_entropy,spo2
SpO2_skew,spo2
SpO2_std,spo2
SpO2_total_power,spo2
SpO2_total_variance,spo2
SpO2_zcr,spo2
raw_Bvp_mean,bvp
raw_Bvp_std,bvp
raw_Bvp_min,bvp
raw_Bvp_max,bvp
Bvp_median,bvp
raw_Bvp_iqr,bvp
raw_Bvp_skew,bvp
raw_Bvp_kurtosis,bvp
Bvp_range,bvp
raw_Bvp_mad,bvp
raw_Bvp_rms,bvp
Bvp_cv,bvp
Bvp_diff_std,bvp
Bvp_n_extrema,bvp
