channel,K,K_label,loso_macro_f1_mean,loso_macro_f1_std,n_features_used
bvp,5,5,0.542727433989364,0.1069614744740737,5
bvp,10,10,0.5359152225960285,0.10382318491696692,10
bvp,20,20,0.5303184397649296,0.11337979276956407,20
bvp,40,40,0.5332045017941094,0.11096350723866258,40
bvp,61,all,0.5251476735039832,0.10535597266746755,61
eda,5,5,0.4937218177388272,0.10480418034229552,5
eda,10,10,0.4814987816472439,0.1040214930306957,10
eda,20,20,0.5245237191235117,0.11204436320348829,20
eda,40,40,0.5007479555517731,0.11572223578618557,40
eda,55,all,0.5050956780543208,0.12914209245371133,55
resp,5,5,0.546652175939599,0.11639895158977079,5
resp,10,10,0.5466590512507798,0.11229508213582919,10
resp,20,20,0.5426240908849606,0.11180971350937266,20
resp,40,40,0.5258827064841579,0.09962893453121298,40
resp,53,all,0.5217953084731121,0.11492535869083594,53
spo2,5,5,0.515796509721274,0.10459462779148633,5
spo2,10,10,0.5274516254265571,0.10588916391443423,10
spo2,20,20,0.5200717889576975,0.09498136124816883,20
spo2,40,40,0.5115019144685004,0.07830783737246086,40
spo2,42,all,0.5090038462096229,0.07898009289437015,42
all,5,5,0.546652175939599,0.11639895158977079,5
all,10,10,0.5495724365183537,0.11104145052191182,10
all,20,20,0.5515416727591064,0.11004770604554458,20
all,40,40,0.5735689109602153,0.10924661640786047,40
all,80,80,0.5513500474879477,0.12487261855446717,80
all,160,160,0.5734727697187931,0.09482812340804815,160
all,212,all,0.558943435496988,0.10230725219944728,212
