filter,signal,loso_macro_f1_mean,loso_macro_f1_std,n_samples_per_seg
none,Bvp,0.4980354175293676,0.10841500673614785,250
none,Eda,0.4800793142501482,0.11011487815390428,250
none,Resp,0.4828765907894736,0.11595735189655537,250
none,SpO2,0.4673004059192247,0.0876014812826465,250
bp_0.05_1,Bvp,0.47242332032589723,0.09353165333844507,250
bp_0.05_1,Eda,0.5069632832392528,0.08397595597792522,250
bp_0.05_1,Resp,0.4807211960132612,0.11068435869052627,250
bp_0.05_1,SpO2,0.47998008494339695,0.11305335494368068,250
bp_0.1_0.5,Bvp,0.46968862774245956,0.09363024028667066,250
bp_0.1_0.5,Eda,0.4854567845751686,0.07027854193502367,250
bp_0.1_0.5,Resp,0.5013363186493431,0.11222348415472103,250
bp_0.1_0.5,SpO2,0.48685332951892757,0.11450240864392623,250
detrend,Bvp,0.5029022325412694,0.10623200536590295,250
detrend,Eda,0.46479852638226604,0.10259980345032228,250
detrend,Resp,0.48253598831164296,0.10167758883152983,250
detrend,SpO2,0.4636611247012431,0.09332355440734597,250
savgol_25,Bvp,0.49397551447817156,0.09852496023854002,250
savgol_25,Eda,0.4800744781308145,0.09142617551727206,250
savgol_25,Resp,0.47828795383526884,0.11136147257691738,250
savgol_25,SpO2,0.4696556654230407,0.09320454321542335,250
