subject,class,split,tsne1,tsne2
1,NoPain,train,-31.466787,-9.063469
1,NoPain,train,-8.913803,-10.191507
1,NoPain,train,-8.4479065,-7.66163
1,NoPain,train,-54.06005,5.007873
1,NoPain,train,-29.313679,15.923081
1,NoPain,train,-63.70166,9.255966
1,NoPain,train,-58.064865,9.104763
1,NoPain,train,-45.11462,-12.701433
1,NoPain,train,-65.12909,8.454352
1,NoPain,train,-50.06767,-4.9763074
1,NoPain,train,-53.197235,4.0112596
1,NoPain,train,-45.839474,-12.12094
1,PainArm,train,-44.81473,-12.889395
1,PainHand,train,-11.444585,21.29802
1,PainArm,train,-8.279488,-5.498156
1,PainHand,train,-19.5896,25.129513
1,PainArm,train,-14.956035,24.61266
1,PainHand,train,-28.443419,17.39287
1,PainArm,train,-60.042458,9.306191
1,PainHand,train,-67.06117,7.272878
1,PainArm,train,-56.607,8.159207
1,PainHand,train,-60.119194,9.324196
1,PainArm,train,-49.482887,-6.937576
1,PainHand,train,-59.009583,9.044054
1,PainArm,train,-51.196777,-1.9448955
1,PainHand,train,-52.90472,3.3994272
1,PainArm,train,-63.20348,9.07445
1,PainHand,train,-57.561447,8.439092
1,PainArm,train,-67.81595,6.7186985
1,PainHand,train,-62.58043,9.412467
1,PainArm,train,-64.65337,8.70844
1,PainHand,train,-67.68937,6.8185344
1,PainArm,train,-68.99763,5.67381
1,PainHand,train,-60.202576,9.660137
1,PainArm,train,-61.725792,9.514405
1,PainHand,train,-59.581295,9.220351
2,NoPain,train,-69.90755,0.42129073
2,NoPain,train,-69.6472,0.91533786
2,NoPain,train,-69.64806,0.91701347
2,NoPain,train,-69.91171,0.41829845
2,NoPain,train,-69.909935,0.4179761
2,NoPain,train,-70.67945,1.535157
2,NoPain,train,-70.46057,1.4222294
2,NoPain,train,-70.533424,1.1465173
2,NoPain,train,-73.20653,1.8179322
2,NoPain,train,-70.785194,1.5650423
2,NoPain,train,-70.717735,0.8301673
2,NoPain,train,-70.55808,1.4839231
2,PainArm,train,-69.667244,0.9965162
2,PainHand,train,-72.95351,2.3353176
2,PainArm,train,-72.14826,2.144437
2,PainHand,train,-70.809555,0.8330974
2,PainArm,train,-72.625786,2.2477725
2,PainHand,train,-73.80407,3.7306616
2,PainArm,train,-72.33713,2.2537556
2,PainHand,train,-70.86867,0.85185516
2,PainArm,train,-73.399315,2.1008518
2,PainHand,train,-73.85573,3.3973057
2,PainArm,train,-72.69621,1.535458
2,PainHand,train,-73.42587,2.3679805
2,PainArm,train,-73.705765,4.0195503
2,PainHand,train,-73.73365,3.9335546
2,PainArm,train,-73.4006,2.3536386
2,PainHand,train,-71.33699,1.0893477
2,PainArm,train,-71.09725,1.6514364
2,PainHand,train,-73.10601,1.732529
2,PainArm,train,-72.56864,2.228661
2,PainHand,train,-71.30622,1.7279509
2,PainArm,train,-71.72575,1.7148848
2,PainHand,train,-71.96761,1.9852554
2,PainArm,train,-71.558205,1.1458361
2,PainHand,train,-71.433136,1.1566715
4,NoPain,train,-34.10385,-13.111976
4,NoPain,train,-30.122938,-1.7578101
4,NoPain,train,-30.517487,-8.659631
4,NoPain,train,-30.517479,-8.659634
4,NoPain,train,-30.121508,-1.9457343
4,NoPain,train,-30.205923,0.17141643
4,NoPain,train,-30.134533,2.5643272
4,NoPain,train,-30.137064,-1.7535377
4,NoPain,train,-30.295366,-7.4580007
